Orthogroup	CquinquefasciatusJHB2020	LlongipalpisASM
OG0005041	CQUJHB013500	LOC129790748
OG0005042	CQUJHB007517	LOC129788355
OG0005043	CQUJHB007401	LOC129790124
OG0005044	CQUJHB004721	LOC129792301
OG0005045	CQUJHB000362	LOC129792789
OG0005046	CQUJHB009867	LOC129792749
OG0005047	CQUJHB006839	LOC129797041
OG0005048	CQUJHB005379	LOC129792752
OG0005049	CQUJHB012079	LOC129792594
OG0005050	CQUJHB017158	LOC129792696
OG0005051	CQUJHB007658	LOC129797693
OG0005052	CQUJHB002803	LOC129792699
OG0005053	CQUJHB016128	LOC129791768
OG0005054	CQUJHB010916	LOC129786683
OG0005055	CQUJHB002922	LOC129797008
OG0005056	CQUJHB010414	LOC129797340
OG0005057	CQUJHB011225	LOC129786413
OG0005058	CQUJHB004583	LOC129797047
OG0005059	CQUJHB014574	LOC129797251
OG0005060	CQUJHB011969	LOC129789796
OG0005061	CQUJHB001517	LOC129790293
OG0005062	CQUJHB008593	LOC129790475
OG0005063	CQUJHB012615	LOC129788951
OG0005064	CQUJHB016818	LOC129790058
OG0005065	CQUJHB007926	LOC129790582
OG0005066	CQUJHB017029	LOC129796523
OG0005067	CQUJHB004476	LOC129792402
OG0005068	CQUJHB010691	LOC129792409
OG0005069	CQUJHB001479	LOC129790280
OG0005070	CQUJHB014087	LOC129786601
OG0005071	CQUJHB017154	LOC129791442
OG0005072	CQUJHB006341	LOC129786172
OG0005073	CQUJHB006405	LOC129797352
OG0005074	CQUJHB012405	LOC129796006
OG0005075	CQUJHB007735	LOC129786425
OG0005076	CQUJHB011605	LOC129791443
OG0005077	CQUJHB003533	LOC129788425
OG0005078	CQUJHB013388	LOC129788430
OG0005079	CQUJHB015392	LOC129791160
OG0005080	CQUJHB014310	LOC129795793
OG0005081	CQUJHB016242	LOC129795796
OG0005082	CQUJHB003969	LOC129790844
OG0005083	CQUJHB007493	LOC129788462
OG0005084	CQUJHB012185	LOC129788468
OG0005085	CQUJHB008774	LOC129787667
OG0005086	CQUJHB016164	LOC129787675
OG0005088	CQUJHB013769	LOC129787234
OG0005089	CQUJHB017871	LOC129787060
OG0005090	CQUJHB015767	LOC129790727
OG0005091	CQUJHB005951	LOC129788705
OG0005092	CQUJHB005791	LOC129786986
OG0005093	CQUJHB014131	LOC129791840
OG0005094	CQUJHB007467	LOC129792825
OG0005095	CQUJHB007444	LOC129797410
OG0005096	CQUJHB000603	LOC129787695
OG0005097	CQUJHB003580	LOC129794959
OG0005098	CQUJHB016815	LOC129791905
OG0005099	CQUJHB014279	LOC129794462
OG0005100	CQUJHB006206	LOC129796811
OG0005101	CQUJHB012981	LOC129788068
OG0005102	CQUJHB013968	LOC129794650
OG0005103	CQUJHB013748	LOC129792981
OG0005104	CQUJHB015300	LOC129794460
OG0005105	CQUJHB007531	LOC129796685
OG0005106	CQUJHB016793	LOC129796661
OG0005107	CQUJHB009124	LOC129795689
OG0005108	CQUJHB011210	LOC129796099
OG0005109	CQUJHB011496	LOC129786110
OG0005110	CQUJHB009613	LOC129786152
OG0005111	CQUJHB006625	LOC129796585
OG0005112	CQUJHB013342	LOC129796024
OG0005113	CQUJHB005207	LOC129792251
OG0005114	CQUJHB009975	LOC129795840
OG0005115	CQUJHB010759	LOC129795868
OG0005116	CQUJHB008580	LOC129795430
OG0005117	CQUJHB014906	LOC129787178
OG0005118	CQUJHB007381	LOC129790449
OG0005119	CQUJHB017957	LOC129790861
OG0005120	CQUJHB009883	LOC129790450
OG0005121	CQUJHB006323	LOC129792440
OG0005122	CQUJHB017525	LOC129797471
OG0005123	CQUJHB001809	LOC129792450
OG0005124	CQUJHB011317	LOC129797449
OG0005125	CQUJHB010218	LOC129797697
OG0005126	CQUJHB002385	LOC129797718
OG0005127	CQUJHB004661	LOC129797711
OG0005128	CQUJHB018263	LOC129788887
OG0005129	CQUJHB002981	LOC129786136
OG0005130	CQUJHB002096	LOC129795579
OG0005131	CQUJHB002652	LOC129794599
OG0005132	CQUJHB003448	LOC129794128
OG0005133	CQUJHB017627	LOC129794001
OG0005134	CQUJHB000675	LOC129792249
OG0005135	CQUJHB006466	LOC129794010
OG0005136	CQUJHB012420	LOC129793695
OG0005137	CQUJHB006240	LOC129793150
OG0005138	CQUJHB018333	LOC129792250
OG0005139	CQUJHB016922	LOC129793486
OG0005140	CQUJHB004703	LOC129788398
OG0005141	CQUJHB007946	LOC129788456
OG0005142	CQUJHB016734	LOC129788690
OG0005143	CQUJHB017817	LOC129787604
OG0005144	CQUJHB016108, CQUJHB016132	LOC129797684
OG0005145	CQUJHB007183	LOC129797278
OG0005146	CQUJHB014609	LOC129794906
OG0005147	CQUJHB007551	LOC129794758
OG0005149	CQUJHB013244	LOC129787828
OG0005150	CQUJHB014816	LOC129787330
OG0005151	CQUJHB012271	LOC129789561
OG0005152	CQUJHB014039	LOC129793934
OG0005153	CQUJHB010979	LOC129788512
OG0005155	CQUJHB007793	LOC129789349
OG0005156	CQUJHB002945	LOC129790043
OG0005157	CQUJHB014725	LOC129788490
OG0005158	CQUJHB005761	LOC129790812
OG0005159	CQUJHB000485	LOC129786694
OG0005161	CQUJHB004743	LOC129788911
OG0005162	CQUJHB010607	LOC129786704
OG0005164	CQUJHB014580	LOC129786689
OG0005165	CQUJHB018061	LOC129795562
OG0005166	CQUJHB015954	LOC129787534
OG0005167	CQUJHB013255	LOC129792237
OG0005168	CQUJHB013349	LOC129786942
OG0005169	CQUJHB011335	LOC129795277
OG0005170	CQUJHB005460	LOC129790166
OG0005171	CQUJHB005050	LOC129795385
OG0005172	CQUJHB012792	LOC129796437
OG0005173	CQUJHB004626	LOC129795614
OG0005174	CQUJHB014661	LOC129796475
OG0005175	CQUJHB012740	LOC129795716
OG0005176	CQUJHB017217	LOC129795493
OG0005177	CQUJHB016776	LOC129792326
OG0005178	CQUJHB004685	LOC129794903
OG0005179	CQUJHB007324	LOC129792915
OG0005180	CQUJHB018474	LOC129793574
OG0005181	CQUJHB009330	LOC129793797
OG0005182	CQUJHB005305	LOC129793280
OG0005183	CQUJHB011886	LOC129791208
OG0005184	CQUJHB005699	LOC129788576
OG0005185	CQUJHB016168	LOC129797438
OG0005187	CQUJHB011826	LOC129793851
OG0005188	CQUJHB015696	LOC129797419
OG0005189	CQUJHB003855	LOC129793601
OG0005190	CQUJHB000605	LOC129792870
OG0005191	CQUJHB004955	LOC129791432
OG0005192	CQUJHB016914	LOC129793975
OG0005193	CQUJHB008183	LOC129794938
OG0005194	CQUJHB000768	LOC129786141
OG0005195	CQUJHB006218	LOC129791973
OG0005196	CQUJHB005241	LOC129792019
OG0005197	CQUJHB012173	LOC129788924
OG0005198	CQUJHB013815	LOC129793620
OG0005199	CQUJHB003973	LOC129793506
OG0005200	CQUJHB007448	LOC129795433
OG0005201	CQUJHB005383	LOC129794212
OG0005202	CQUJHB017287	LOC129793623
OG0005203	CQUJHB011219	LOC129794211
OG0005205	CQUJHB010690	LOC129789928
OG0005206	CQUJHB011588	LOC129797143
OG0005207	CQUJHB015598	LOC129790336
OG0005208	CQUJHB013214	LOC129791139
OG0005209	CQUJHB003418	LOC129793393
OG0005210	CQUJHB006253	LOC129789528
OG0005211	CQUJHB003712	LOC129796499
OG0005212	CQUJHB015015	LOC129796341
OG0005213	CQUJHB012031	LOC129794667
OG0005214	CQUJHB001919	LOC129796434
OG0005215	CQUJHB011856	LOC129794665
OG0005216	CQUJHB014299	LOC129796015
OG0005217	CQUJHB010266	LOC129794838
OG0005218	CQUJHB013741	LOC129795929
OG0005219	CQUJHB000026	LOC129793817
OG0005220	CQUJHB004225	LOC129787943
OG0005221	CQUJHB004909	LOC129789589
OG0005222	CQUJHB017808	LOC129797039
OG0005223	CQUJHB002952	LOC129792239
OG0005224	CQUJHB018255	LOC129794984
OG0005225	CQUJHB001076, CQUJHB017890	LOC129788391
OG0005226	CQUJHB017767	LOC129795875
OG0005227	CQUJHB001452	LOC129794885
OG0005228	CQUJHB007801	LOC129795842
OG0005229	CQUJHB017933	LOC129794033
OG0005230	CQUJHB004292	LOC129795852
OG0005231	CQUJHB003985	LOC129795480
OG0005232	CQUJHB009400	LOC129788982
OG0005234	CQUJHB008786	LOC129787507
OG0005235	CQUJHB011201	LOC129791610
OG0005236	CQUJHB013874	LOC129794202
OG0005237	CQUJHB017137	LOC129796630
OG0005238	CQUJHB011094	LOC129794216
OG0005239	CQUJHB009878	LOC129788840
OG0005240	CQUJHB010312	LOC129788141
OG0005241	CQUJHB009036	LOC129790807
OG0005242	CQUJHB017874	LOC129792142
OG0005243	CQUJHB017196	LOC129796817
OG0005244	CQUJHB009672	LOC129796889
OG0005245	CQUJHB010249	LOC129795728
OG0005246	CQUJHB010215	LOC129789848
OG0005247	CQUJHB006447	LOC129792221
OG0005248	CQUJHB004180	LOC129789905
OG0005249	CQUJHB012052	LOC129794657
OG0005250	CQUJHB005180	LOC129787416
OG0005251	CQUJHB003549	LOC129795177
OG0005252	CQUJHB006382	LOC129794685
OG0005253	CQUJHB004082	LOC129794800
OG0005254	CQUJHB017556	LOC129794675
OG0005255	CQUJHB018378	LOC129793467
OG0005256	CQUJHB005606	LOC129791639
OG0005257	CQUJHB002852	LOC129792242
OG0005258	CQUJHB008484	LOC129792983
OG0005259	CQUJHB004766	LOC129797775
OG0005260	CQUJHB003433	LOC129791179
OG0005261	CQUJHB011328	LOC129797596
OG0005262	CQUJHB015755	LOC129797638
OG0005263	CQUJHB002480	LOC129792401
OG0005264	CQUJHB004086	LOC129791174
OG0005265	CQUJHB018388	LOC129794221
OG0005266	CQUJHB009459	LOC129793369
OG0005267	CQUJHB016159	LOC129786219
OG0005268	CQUJHB008813	LOC129790907
OG0005269	CQUJHB003044	LOC129790128
OG0005270	CQUJHB014182	LOC129787086
OG0005271	CQUJHB015095	LOC129797865
OG0005272	CQUJHB004781	LOC129785911
OG0005273	CQUJHB002938	LOC129787764
OG0005274	CQUJHB004313	LOC129793621
OG0005275	CQUJHB001952	LOC129795553
OG0005276	CQUJHB012511	LOC129788683
OG0005277	CQUJHB009003	LOC129786047
OG0005278	CQUJHB010129	LOC129788026
OG0005279	CQUJHB016884	LOC129792391
OG0005280	CQUJHB010093	LOC129786241
OG0005281	CQUJHB002173	LOC129785978
OG0005282	CQUJHB011691	LOC129787518
OG0005283	CQUJHB013672	LOC129788404
OG0005284	CQUJHB012324	LOC129791834
OG0005285	CQUJHB004150	LOC129787740
OG0005286	CQUJHB000351	LOC129786739
OG0005287	CQUJHB014095	LOC129786749
OG0005288	CQUJHB017266	LOC129793314
OG0005289	CQUJHB015461	LOC129796257
OG0005290	CQUJHB010338	LOC129791183
OG0005291	CQUJHB008943	LOC129790236
OG0005292	CQUJHB009286	LOC129791352
OG0005293	CQUJHB004815	LOC129791348
OG0005294	CQUJHB013219	LOC129791311
OG0005295	CQUJHB000549	LOC129790368
OG0005296	CQUJHB011900	LOC129797533
OG0005297	CQUJHB013709	LOC129797552
OG0005298	CQUJHB006932	LOC129786758
OG0005299	CQUJHB001972	LOC129786941
OG0005300	CQUJHB015287	LOC129792845
OG0005301	CQUJHB013168	LOC129795870
OG0005302	CQUJHB002759	LOC129786532
OG0005303	CQUJHB012954	LOC129786620
OG0005304	CQUJHB012452	LOC129786564
OG0005305	CQUJHB017239	LOC129790148
OG0005306	CQUJHB003775	LOC129797836
OG0005307	CQUJHB011290	LOC129787039
OG0005308	CQUJHB011534	LOC129787038
OG0005309	CQUJHB016181	LOC129789836
OG0005310	CQUJHB000580	LOC129795162
OG0005311	CQUJHB014470, CQUJHB000903	LOC129789542
OG0005312	CQUJHB007612	LOC129790645
OG0005313	CQUJHB011027	LOC129790127
OG0005314	CQUJHB004960	LOC129789995
OG0005315	CQUJHB000710	LOC129789522
OG0005316	CQUJHB005931	LOC129787388
OG0005317	CQUJHB005098	LOC129789904
OG0005318	CQUJHB006019	LOC129795055
OG0005319	CQUJHB002214	LOC129791229
OG0005320	CQUJHB005851	LOC129788877
OG0005321	CQUJHB017745	LOC129794059
OG0005323	CQUJHB004584	LOC129790038
OG0005324	CQUJHB018363	LOC129791073
OG0005325	CQUJHB002372	LOC129790034
OG0005326	CQUJHB014256	LOC129791066
OG0005327	CQUJHB002373, CQUJHB018118	LOC129795691
OG0005328	CQUJHB017045	LOC129797233
OG0005329	CQUJHB011611	LOC129795461
OG0005330	CQUJHB012457	LOC129795752
OG0005331	CQUJHB012397	LOC129795504
OG0005332	CQUJHB017619	LOC129795680
OG0005333	CQUJHB001500	LOC129797223
OG0005334	CQUJHB011694	LOC129792490
OG0005335	CQUJHB003173	LOC129789531
OG0005336	CQUJHB010692	LOC129792263
OG0005337	CQUJHB009008	LOC129794170
OG0005338	CQUJHB005688	LOC129790379
OG0005339	CQUJHB008165	LOC129797553
OG0005340	CQUJHB008461	LOC129791919
OG0005341	CQUJHB006149	LOC129791824
OG0005342	CQUJHB014071	LOC129791764
OG0005343	CQUJHB000373	LOC129795168
OG0005344	CQUJHB003542	LOC129791959
OG0005345	CQUJHB001663	LOC129792240
OG0005346	CQUJHB011551	LOC129789879
OG0005347	CQUJHB017633	LOC129787397
OG0005348	CQUJHB013649	LOC129787059
OG0005349	CQUJHB003122	LOC129795738
OG0005350	CQUJHB007089	LOC129797617
OG0005351	CQUJHB009186	LOC129793729
OG0005352	CQUJHB012985	LOC129786305
OG0005353	CQUJHB011082	LOC129790792
OG0005354	CQUJHB002817	LOC129788893
OG0005355	CQUJHB004763	LOC129790012
OG0005356	CQUJHB002877	LOC129787275
OG0005357	CQUJHB005265	LOC129790014
OG0005358	CQUJHB009712	LOC129790207
OG0005359	CQUJHB015144	LOC129793932
OG0005360	CQUJHB002203	LOC129789961
OG0005361	CQUJHB014361	LOC129790191
OG0005362	CQUJHB006936	LOC129788416
OG0005363	CQUJHB012931	LOC129788818
OG0005364	CQUJHB004796	LOC129789983
OG0005365	CQUJHB002910	LOC129797250
OG0005366	CQUJHB006104	LOC129788844
OG0005367	CQUJHB015170	LOC129788184
OG0005368	CQUJHB000769	LOC129787674
OG0005369	CQUJHB008536	LOC129794917
OG0005370	CQUJHB002114	LOC129795894
OG0005371	CQUJHB017750	LOC129795119
OG0005372	CQUJHB013637	LOC129795902
OG0005373	CQUJHB003109	LOC129790794
OG0005374	CQUJHB013922	LOC129789146
OG0005375	CQUJHB003937	LOC129789382
OG0005376	CQUJHB000933	LOC129790850
OG0005377	CQUJHB003976	LOC129790878
OG0005378	CQUJHB004297	LOC129788731
OG0005379	CQUJHB000119	LOC129795635
OG0005380	CQUJHB016619	LOC129797327
OG0005381	CQUJHB008793	LOC129789695
OG0005382	CQUJHB016488	LOC129797326
OG0005383	CQUJHB008531	LOC129791288
OG0005384	CQUJHB008492	LOC129790324
OG0005385	CQUJHB016534	LOC129793236
OG0005386	CQUJHB008312	LOC129789020
OG0005387	CQUJHB015997	LOC129795683
OG0005389	CQUJHB003157	LOC129793310
OG0005390	CQUJHB010768	LOC129792542
OG0005392	CQUJHB002830	LOC129789312
OG0005393	CQUJHB008751	LOC129785861
OG0005394	CQUJHB017190	LOC129790031
OG0005395	CQUJHB012259	LOC129794961
OG0005396	CQUJHB012011	LOC129796440
OG0005397	CQUJHB004098	LOC129786923
OG0005398	CQUJHB002699	LOC129786862
OG0005399	CQUJHB000249	LOC129786818
OG0005400	CQUJHB009484	LOC129791802
OG0005401	CQUJHB011658	LOC129793842
OG0005402	CQUJHB005796	LOC129792860
OG0005403	CQUJHB008267	LOC129789586
OG0005404	CQUJHB016758	LOC129788929
OG0005405	CQUJHB018238	LOC129791147
OG0005406	CQUJHB005790	LOC129793781
OG0005407	CQUJHB008036	LOC129789435
OG0005408	CQUJHB001926	LOC129797483
OG0005409	CQUJHB000672	LOC129797516
OG0005410	CQUJHB008773	LOC129787642
OG0005411	CQUJHB008179	LOC129797513
OG0005412	CQUJHB001029	LOC129797195
OG0005413	CQUJHB008342	LOC129794924
OG0005414	CQUJHB011934	LOC129797764, LOC129797762
OG0005415	CQUJHB002774	LOC129795581
OG0005416	CQUJHB002146	LOC129788059
OG0005417	CQUJHB000059	LOC129786335
OG0005418	CQUJHB004962	LOC129793917
OG0005419	CQUJHB001739	LOC129797794
OG0005420	CQUJHB016052	LOC129786337
OG0005421	CQUJHB016644	LOC129786333
OG0005422	CQUJHB009527	LOC129793311
OG0005423	CQUJHB011044	LOC129794883
OG0005424	CQUJHB013658	LOC129786327
OG0005425	CQUJHB003568	LOC129793170
OG0005426	CQUJHB009620	LOC129794891
OG0005428	CQUJHB016489	LOC129787599
OG0005429	CQUJHB017707, CQUJHB016939	LOC129797305
OG0005430	CQUJHB002496	LOC129796928
OG0005431	CQUJHB012440	LOC129795741
OG0005432	CQUJHB009823	LOC129796984
OG0005433	CQUJHB013588	LOC129797295
OG0005434	CQUJHB002553	LOC129797232
OG0005435	CQUJHB015978	LOC129793364
OG0005436	CQUJHB010952	LOC129791944
OG0005437	CQUJHB001848	LOC129787119
OG0005438	CQUJHB012697	LOC129790909
OG0005440	CQUJHB001950	LOC129795940
OG0005441	CQUJHB001665	LOC129786420
OG0005442	CQUJHB000260	LOC129796513
OG0005443	CQUJHB008575	LOC129793918
OG0005444	CQUJHB012727	LOC129796960
OG0005445	CQUJHB012853	LOC129791092
OG0005446	CQUJHB011200	LOC129786233
OG0005448	CQUJHB015279	LOC129787666
OG0005449	CQUJHB010183	LOC129796962
OG0005450	CQUJHB015706	LOC129796965
OG0005451	CQUJHB016859	LOC129786250
OG0005452	CQUJHB006772	LOC129793935
OG0005453	CQUJHB015186	LOC129793813
OG0005454	CQUJHB004538	LOC129796963
OG0005455	CQUJHB016848	LOC129788151
OG0005456	CQUJHB016988	LOC129796529
OG0005458	CQUJHB001387	LOC129796642
OG0005459	CQUJHB014735	LOC129789623
OG0005460	CQUJHB010520	LOC129790601
OG0005461	CQUJHB013698	LOC129790604
OG0005462	CQUJHB017344	LOC129789776
OG0005463	CQUJHB008178	LOC129794714
OG0005464	CQUJHB015608	LOC129790643
OG0005465	CQUJHB004999	LOC129791869
OG0005466	CQUJHB013774	LOC129793571
OG0005467	CQUJHB012339	LOC129790436
OG0005468	CQUJHB001678	LOC129797217
OG0005469	CQUJHB018041	LOC129790796
OG0005470	CQUJHB009242	LOC129787106
OG0005471	CQUJHB001521	LOC129788625
OG0005472	CQUJHB002386	LOC129793108
OG0005473	CQUJHB010177	LOC129786244
OG0005474	CQUJHB007822	LOC129794922
OG0005475	CQUJHB011327	LOC129794698
OG0005476	CQUJHB017136	LOC129795448
OG0005477	CQUJHB011627	LOC129795407
OG0005478	CQUJHB004783	LOC129796498
OG0005479	CQUJHB008037	LOC129796491
OG0005481	CQUJHB017562	LOC129788031, LOC129790520
OG0005482	CQUJHB002334	LOC129790815
OG0005483	CQUJHB013958	LOC129790519
OG0005484	CQUJHB010220	LOC129790518
OG0005485	CQUJHB007529	LOC129795512
OG0005486	CQUJHB016453	LOC129789749
OG0005487	CQUJHB004349	LOC129790385
OG0005488	CQUJHB010910	LOC129789816
OG0005489	CQUJHB016090	LOC129789745
OG0005490	CQUJHB007275	LOC129793313
OG0005491	CQUJHB016112	LOC129787512
OG0005492	CQUJHB009381	LOC129789750
OG0005493	CQUJHB000136	LOC129790350
OG0005494	CQUJHB008050	LOC129787010
OG0005495	CQUJHB007180	LOC129791429
OG0005496	CQUJHB008410	LOC129788906
OG0005497	CQUJHB009355	LOC129790784
OG0005498	CQUJHB008797	LOC129788888
OG0005499	CQUJHB011906	LOC129790788
OG0005500	CQUJHB017632	LOC129789676
OG0005501	CQUJHB006292	LOC129790791
OG0005502	CQUJHB009263	LOC129789668
OG0005503	CQUJHB016072	LOC129787533
OG0005505	CQUJHB005406	LOC129786517
OG0005506	CQUJHB010062	LOC129789031
OG0005507	CQUJHB009044	LOC129788960
OG0005508	CQUJHB014992	LOC129795845
OG0005509	CQUJHB009921	LOC129795885
OG0005510	CQUJHB007283	LOC129792724
OG0005511	CQUJHB004691	LOC129791843
OG0005512	CQUJHB000374	LOC129793493
OG0005513	CQUJHB005072	LOC129795412
OG0005514	CQUJHB005312	LOC129796704
OG0005515	CQUJHB008988	LOC129795440
OG0005516	CQUJHB009031	LOC129795653
OG0005517	CQUJHB015447	LOC129790819
OG0005518	CQUJHB010883	LOC129791166
OG0005519	CQUJHB010476	LOC129790608
OG0005520	CQUJHB000826	LOC129790917
OG0005521	CQUJHB008898	LOC129790863
OG0005522	CQUJHB014038	LOC129790391
OG0005523	CQUJHB014701	LOC129790525
OG0005524	CQUJHB016452	LOC129787795
OG0005525	CQUJHB000959	LOC129790097
OG0005526	CQUJHB013896	LOC129788047
OG0005527	CQUJHB011818	LOC129797862
OG0005528	CQUJHB004118	LOC129788052
OG0005529	CQUJHB014254	LOC129789710
OG0005530	CQUJHB004652	LOC129790197
OG0005531	CQUJHB000843	LOC129788002
OG0005532	CQUJHB017531	LOC129786456
OG0005533	CQUJHB004780	LOC129787961
OG0005534	CQUJHB010112	LOC129786409
OG0005535	CQUJHB005687	LOC129787830
OG0005536	CQUJHB012473	LOC129797669
OG0005537	CQUJHB000945	LOC129790257
OG0005538	CQUJHB008275	LOC129790048
OG0005539	CQUJHB011374	LOC129790286
OG0005540	CQUJHB011107	LOC129788049
OG0005541	CQUJHB013399	LOC129794327
OG0005542	CQUJHB007617	LOC129794326
OG0005543	CQUJHB004561	LOC129792636
OG0005544	CQUJHB003564	LOC129794329
OG0005545	CQUJHB015823	LOC129791028
OG0005546	CQUJHB003360	LOC129792157
OG0005547	CQUJHB009931	LOC129795982
OG0005548	CQUJHB007480	LOC129795925
OG0005549	CQUJHB005125	LOC129795485
OG0005550	CQUJHB003388	LOC129786803
OG0005551	CQUJHB004768	LOC129789063
OG0005552	CQUJHB007521	LOC129796370
OG0005553	CQUJHB011452	LOC129787473
OG0005554	CQUJHB000354	LOC129796358
OG0005555	CQUJHB007252	LOC129789355
OG0005556	CQUJHB009362	LOC129795431
OG0005557	CQUJHB004393	LOC129795498
OG0005558	CQUJHB006891	LOC129794806
OG0005559	CQUJHB009820	LOC129795966
OG0005560	CQUJHB006763	LOC129796495
OG0005561	CQUJHB010647	LOC129786108
OG0005563	CQUJHB013350	LOC129796624
OG0005564	CQUJHB010405	LOC129795360
OG0005565	CQUJHB012509	LOC129796621
OG0005566	CQUJHB007139	LOC129794933
OG0005567	CQUJHB014600	LOC129795265
OG0005568	CQUJHB001181	LOC129792199
OG0005569	CQUJHB010315	LOC129793234
OG0005570	CQUJHB007944	LOC129792196
OG0005571	CQUJHB015829	LOC129793204
OG0005572	CQUJHB005245	LOC129788346
OG0005573	CQUJHB000520	LOC129796149
OG0005574	CQUJHB014972	LOC129797503
OG0005575	CQUJHB018427	LOC129796438
OG0005576	CQUJHB012750	LOC129797622
OG0005577	CQUJHB011667	LOC129797735
OG0005578	CQUJHB017120	LOC129796207
OG0005579	CQUJHB001050	LOC129789318
OG0005580	CQUJHB000257	LOC129790322
OG0005581	CQUJHB013965	LOC129786825
OG0005582	CQUJHB004133	LOC129786124
OG0005583	CQUJHB007058	LOC129786682
OG0005584	CQUJHB017459	LOC129790770
OG0005585	CQUJHB007698	LOC129790830
OG0005586	CQUJHB012598	LOC129791957
OG0005588	CQUJHB006003	LOC129795636
OG0005589	CQUJHB005907	LOC129789965
OG0005590	CQUJHB014771	LOC129792650
OG0005591	CQUJHB007375	LOC129792667
OG0005592	CQUJHB006678	LOC129789016
OG0005593	CQUJHB013497	LOC129786918
OG0005594	CQUJHB001002	LOC129793833
OG0005595	CQUJHB007840	LOC129793832
OG0005597	CQUJHB008523	LOC129795911
OG0005598	CQUJHB016358	LOC129797207
OG0005599	CQUJHB014172	LOC129793921
OG0005600	CQUJHB016095	LOC129791579
OG0005601	CQUJHB017799	LOC129788171
OG0005602	CQUJHB003786	LOC129792558
OG0005603	CQUJHB000956	LOC129794688
OG0005604	CQUJHB009054	LOC129794499
OG0005605	CQUJHB017656	LOC129790299
OG0005606	CQUJHB012423	LOC129788379
OG0005607	CQUJHB013636	LOC129791299
OG0005608	CQUJHB001947	LOC129787260
OG0005609	CQUJHB012012	LOC129790380
OG0005610	CQUJHB002847	LOC129794297
OG0005611	CQUJHB016264	LOC129793205
OG0005612	CQUJHB013338	LOC129796375
OG0005613	CQUJHB009801	LOC129791751
OG0005614	CQUJHB003958	LOC129792840
OG0005616	CQUJHB003436	LOC129794880
OG0005617	CQUJHB011078	LOC129785907
OG0005618	CQUJHB008004	LOC129788135
OG0005619	CQUJHB006023	LOC129797786
OG0005620	CQUJHB006330	LOC129792733
OG0005621	CQUJHB006790	LOC129792786
OG0005622	CQUJHB008782	LOC129789761
OG0005623	CQUJHB014257	LOC129792791
OG0005624	CQUJHB006648	LOC129790473
OG0005626	CQUJHB009832	LOC129789975
OG0005627	CQUJHB015570	LOC129788605
OG0005628	CQUJHB012659	LOC129791213
OG0005629	CQUJHB009323	LOC129789862
OG0005630	CQUJHB008096	LOC129797656
OG0005631	CQUJHB004558	LOC129788191
OG0005632	CQUJHB012531	LOC129792052
OG0005633	CQUJHB002723	LOC129793413
OG0005634	CQUJHB004330	LOC129793866
OG0005635	CQUJHB008668	LOC129793460
OG0005636	CQUJHB008667	LOC129793330
OG0005637	CQUJHB012322	LOC129793464
OG0005638	CQUJHB010187	LOC129796184
OG0005639	CQUJHB009104	LOC129793360
OG0005640	CQUJHB008490	LOC129793868
OG0005641	CQUJHB012664	LOC129789115
OG0005642	CQUJHB016976	LOC129796312
OG0005643	CQUJHB006875	LOC129796856
OG0005645	CQUJHB010635	LOC129797690
OG0005646	CQUJHB016203	LOC129796058
OG0005647	CQUJHB015656	LOC129790751
OG0005649	CQUJHB001271	LOC129796571
OG0005650	CQUJHB005765	LOC129788980
OG0005652	CQUJHB003922	LOC129786670
OG0005653	CQUJHB003807	LOC129790721
OG0005654	CQUJHB001733	LOC129789291
OG0005655	CQUJHB015776	LOC129785980
OG0005656	CQUJHB013624	LOC129785997
OG0005657	CQUJHB016808	LOC129796095
OG0005659	CQUJHB013466	LOC129791945
OG0005660	CQUJHB006788	LOC129791783
OG0005661	CQUJHB005440	LOC129792502
OG0005662	CQUJHB015669	LOC129796119
OG0005663	CQUJHB010056	LOC129795985
OG0005664	CQUJHB000887	LOC129795994
OG0005665	CQUJHB003762	LOC129791769
OG0005666	CQUJHB016502	LOC129791770
OG0005667	CQUJHB013898	LOC129793484
OG0005668	CQUJHB007070	LOC129796081
OG0005669	CQUJHB002410	LOC129792574
OG0005670	CQUJHB007146	LOC129790821
OG0005671	CQUJHB004473	LOC129788620
OG0005672	CQUJHB012050	LOC129788619
OG0005673	CQUJHB006952	LOC129788622
OG0005674	CQUJHB013018	LOC129788614
OG0005675	CQUJHB000368	LOC129788618
OG0005676	CQUJHB002712	LOC129786567
OG0005677	CQUJHB001210, CQUJHB012062	LOC129797043
OG0005678	CQUJHB009142	LOC129794075
OG0005679	CQUJHB017941	LOC129791898
OG0005680	CQUJHB015800	LOC129792217
OG0005681	CQUJHB007048	LOC129792123
OG0005682	CQUJHB009333	LOC129790800
OG0005683	CQUJHB000658	LOC129786421
OG0005684	CQUJHB001274	LOC129792771
OG0005685	CQUJHB017882	LOC129785839
OG0005686	CQUJHB010932	LOC129792437
OG0005687	CQUJHB005089	LOC129787094
OG0005688	CQUJHB000874	LOC129791006
OG0005689	CQUJHB017432	LOC129790386
OG0005690	CQUJHB014647	LOC129790361
OG0005691	CQUJHB016493	LOC129796200
OG0005692	CQUJHB004264	LOC129795465
OG0005693	CQUJHB010760	LOC129790412
OG0005694	CQUJHB003081	LOC129797815
OG0005695	CQUJHB012459	LOC129790722
OG0005696	CQUJHB003275	LOC129793767
OG0005697	CQUJHB002861	LOC129791804
