Orthogroup	AminimusMINIMUS1	LlongipalpisASM
OG0003868	AMIN010008	LOC129793380
OG0003869	AMIN010011	LOC129793383
OG0003870	AMIN010013	LOC129794261
OG0003871	AMIN010010	LOC129793400
OG0003872	AMIN010464	LOC129791611
OG0003873	AMIN010403	LOC129794098
OG0003874	AMIN010461	LOC129792874
OG0003875	AMIN010460	LOC129792872
OG0003877	AMIN010401	LOC129792461
OG0003878	AMIN011160	LOC129793216
OG0003879	AMIN010467	LOC129792082
OG0003880	AMIN010404	LOC129793146
OG0003881	AMIN010462	LOC129792873
OG0003882	AMIN010800	LOC129791794
OG0003883	AMIN010477	LOC129792463
OG0003884	AMIN010482	LOC129793388
OG0003885	AMIN005258	LOC129789514
OG0003886	AMIN007884	LOC129792377
OG0003887	AMIN010468	LOC129792093
OG0003888	AMIN005257	LOC129795095
OG0003889	AMIN005569	LOC129789282
OG0003890	AMIN011298	LOC129792297
OG0003891	AMIN006659	LOC129790002
OG0003892	AMIN005636	LOC129787543
OG0003893	AMIN001088	LOC129790967
OG0003894	AMIN011305	LOC129787471
OG0003895	AMIN001034	LOC129790996
OG0003896	AMIN001585	LOC129796653
OG0003897	AMIN005995	LOC129788534
OG0003898	AMIN006809	LOC129788529
OG0003899	AMIN005990	LOC129788543
OG0003900	AMIN005996	LOC129788533
OG0003901	AMIN007245	LOC129788530
OG0003902	AMIN001030	LOC129788526
OG0003903	AMIN001647	LOC129790453
OG0003904	AMIN001650	LOC129793226
OG0003905	AMIN008868	LOC129794991
OG0003906	AMIN008867	LOC129796270
OG0003907	AMIN008887	LOC129796034
OG0003908	AMIN008866	LOC129796008
OG0003910	AMIN010210	LOC129793089
OG0003911	AMIN010253	LOC129793404
OG0003912	AMIN010246	LOC129791882
OG0003913	AMIN010251	LOC129792257
OG0003914	AMIN010255	LOC129795941
OG0003915	AMIN010209	LOC129794321
OG0003916	AMIN016104	LOC129791810
OG0003917	AMIN010217	LOC129791745
OG0003918	AMIN010245	LOC129794255
OG0003919	AMIN010256	LOC129791798
OG0003920	AMIN010259	LOC129792846
OG0003921	AMIN010856	LOC129787913
OG0003922	AMIN005214	LOC129790684
OG0003923	AMIN007598	LOC129793525
OG0003924	AMIN001963	LOC129788629
OG0003925	AMIN006405	LOC129793492
OG0003926	AMIN006409	LOC129792341
OG0003927	AMIN006320	LOC129790561
OG0003928	AMIN001369	LOC129795957
OG0003929	AMIN006316	LOC129789557
OG0003930	AMIN006412	LOC129792340
OG0003931	AMIN006402	LOC129790739
OG0003932	AMIN006414	LOC129797433
OG0003933	AMIN006317	LOC129790551
OG0003934	AMIN006321	LOC129790562
OG0003935	AMIN007723	LOC129792884
OG0003936	AMIN007581	LOC129792452
OG0003937	AMIN006050	LOC129794937
OG0003938	AMIN006038	LOC129788964
OG0003939	AMIN006039	LOC129793943
OG0003940	AMIN006049	LOC129787386
OG0003941	AMIN006048	LOC129789916
OG0003942	AMIN006037	LOC129791552
OG0003943	AMIN006051	LOC129794897
OG0003944	AMIN010926	LOC129793995
OG0003945	AMIN010927	LOC129793994
OG0003946	AMIN010922	LOC129794006
OG0003947	AMIN011551	LOC129793215
OG0003948	AMIN011075	LOC129793614
OG0003949	AMIN011539	LOC129793982
OG0003950	AMIN007615	LOC129793239
OG0003952	AMIN011082	LOC129792223
OG0003953	AMIN011544	LOC129792585
OG0003955	AMIN011085, AMIN011087	LOC129793300
OG0003956	AMIN011081	LOC129793199
OG0003957	AMIN011543	LOC129793983
OG0003958	AMIN001349	LOC129789766
OG0003959	AMIN005924	LOC129790793
OG0003960	AMIN001350	LOC129790025
OG0003961	AMIN005921	LOC129788768
OG0003962	AMIN005915	LOC129790335
OG0003964	AMIN005910	LOC129790445
OG0003965	AMIN005917	LOC129790606
OG0003966	AMIN001566	LOC129788806
OG0003967	AMIN001352	LOC129789611
OG0003968	AMIN005922	LOC129789607
OG0003969	AMIN005916	LOC129790258
OG0003970	AMIN005919	LOC129790333
OG0003971	AMIN005925	LOC129791335
OG0003972	AMIN005914	LOC129788845
OG0003973	AMIN005920	LOC129790217
OG0003974	AMIN006265	LOC129787204
OG0003975	AMIN001179	LOC129788446
OG0003976	AMIN006361	LOC129790693
OG0003977	AMIN006267	LOC129787191
OG0003978	AMIN004256	LOC129791324
OG0003979	AMIN006271	LOC129791327
OG0003980	AMIN006277	LOC129791346
OG0003981	AMIN006272	LOC129791359
OG0003982	AMIN009696	LOC129790913
OG0003983	AMIN009686	LOC129791117
OG0003984	AMIN009431	LOC129788644
OG0003985	AMIN009693	LOC129788963
OG0003986	AMIN009430	LOC129788643
OG0003987	AMIN009433	LOC129788649
OG0003988	AMIN009697	LOC129789099
OG0003989	AMIN001431	LOC129788953
OG0003990	AMIN009695	LOC129789163
OG0003991	AMIN009692	LOC129789073
OG0003992	AMIN009689	LOC129788930
OG0003993	AMIN009700	LOC129788948
OG0003994	AMIN007404	LOC129792853
OG0003995	AMIN007395	LOC129791591
OG0003996	AMIN010643	LOC129791555
OG0003997	AMIN007283	LOC129793909
OG0003998	AMIN007721	LOC129792810
OG0003999	AMIN010649	LOC129791628
OG0004000	AMIN008087	LOC129792852
OG0004001	AMIN004523	LOC129795953
OG0004002	AMIN010646	LOC129791546, LOC129792641
OG0004004	AMIN010647	LOC129792756
OG0004005	AMIN006236	LOC129790717
OG0004006	AMIN006237	LOC129788561
OG0004007	AMIN006199	LOC129797290
OG0004008	AMIN006232	LOC129790244
OG0004010	AMIN006217	LOC129795651
OG0004011	AMIN006249	LOC129793137
OG0004013	AMIN006219	LOC129789860
OG0004014	AMIN006222	LOC129794928
OG0004015	AMIN006238	LOC129791936
OG0004016	AMIN006200	LOC129794062
OG0004017	AMIN001356	LOC129789608
OG0004018	AMIN006192	LOC129791373
OG0004019	AMIN006188	LOC129791069
OG0004020	AMIN001355	LOC129789560
OG0004021	AMIN005168	LOC129788757
OG0004022	AMIN006190	LOC129791344
OG0004023	AMIN005169	LOC129793890
OG0004024	AMIN005166	LOC129788786
OG0004025	AMIN001353	LOC129789659
OG0004026	AMIN016182	LOC129793806
OG0004027	AMIN004060	LOC129787189
OG0004029	AMIN003658	LOC129797314
OG0004030	AMIN004061	LOC129797031
OG0004031	AMIN004637	LOC129794107
OG0004032	AMIN003656	LOC129797002
OG0004033	AMIN003911	LOC129789389
OG0004034	AMIN003913	LOC129795810
OG0004035	AMIN004054	LOC129788701
OG0004036	AMIN003657	LOC129796991
OG0004037	AMIN004638	LOC129797342
OG0004038	AMIN004058	LOC129789689
OG0004039	AMIN003801	LOC129786841
OG0004040	AMIN003803	LOC129797480
OG0004041	AMIN005202	LOC129790923
OG0004042	AMIN005415	LOC129788903
OG0004043	AMIN002036	LOC129787601
OG0004044	AMIN005194	LOC129796836
OG0004045	AMIN002973	LOC129786938
OG0004046	AMIN003244	LOC129797519
OG0004047	AMIN014756	LOC129789441
OG0004048	AMIN009822	LOC129789251
OG0004049	AMIN009811	LOC129795507
OG0004050	AMIN015616	LOC129791140
OG0004051	AMIN009796	LOC129791405
OG0004052	AMIN009814	LOC129796508
OG0004053	AMIN009831	LOC129789977
OG0004054	AMIN009823	LOC129789323
OG0004055	AMIN009797	LOC129791400
OG0004056	AMIN009813	LOC129791383
OG0004057	AMIN006086	LOC129790171
OG0004058	AMIN009830	LOC129790205
OG0004059	AMIN009826	LOC129791353
OG0004060	AMIN007852	LOC129794040
OG0004061	AMIN007925	LOC129795068
OG0004062	AMIN010989	LOC129793092
OG0004063	AMIN009260	LOC129797378
OG0004064	AMIN009257	LOC129797381
OG0004065	AMIN009256	LOC129797382
OG0004066	AMIN004333	LOC129797360
OG0004067	AMIN009259	LOC129794962
OG0004068	AMIN004329	LOC129797418
OG0004069	AMIN009253	LOC129797385
OG0004070	AMIN009255	LOC129797383
OG0004071	AMIN008907	LOC129793473
OG0004072	AMIN002117	LOC129786265
OG0004073	AMIN007716	LOC129793517
OG0004074	AMIN002124	LOC129793790
OG0004075	AMIN007718	LOC129793551
OG0004076	AMIN002128	LOC129793728
OG0004077	AMIN007715	LOC129793366
OG0004078	AMIN011285	LOC129791991
OG0004080	AMIN002130	LOC129793748
OG0004081	AMIN010969	LOC129792519
OG0004082	AMIN015930	LOC129789612
OG0004083	AMIN009552	LOC129797517
OG0004084	AMIN011066	LOC129796233
OG0004085	AMIN006730	LOC129794263
OG0004086	AMIN001521	LOC129790936
OG0004087	AMIN015670	LOC129793865
OG0004088	AMIN006729	LOC129792744
OG0004089	AMIN001399	LOC129789664
OG0004090	AMIN015931	LOC129791297
OG0004091	AMIN011064	LOC129791788
OG0004092	AMIN011067	LOC129791856
OG0004094	AMIN002744	LOC129789582
OG0004095	AMIN000954	LOC129797666
OG0004096	AMIN006177	LOC129791989
OG0004097	AMIN000220	LOC129790053
OG0004098	AMIN000953	LOC129797363
OG0004099	AMIN003785	LOC129788140
OG0004100	AMIN002743	LOC129786223
OG0004101	AMIN004116	LOC129787313, LOC129794807
OG0004102	AMIN000218	LOC129791463
OG0004103	AMIN005648	LOC129790359
OG0004104	AMIN003949	LOC129797283
OG0004105	AMIN003956	LOC129793615
OG0004106	AMIN003963	LOC129797365
OG0004107	AMIN002745	LOC129787759
OG0004108	AMIN008054	LOC129792569
OG0004109	AMIN008105	LOC129796125
OG0004110	AMIN008106	LOC129796085
OG0004111	AMIN010650	LOC129793392
OG0004112	AMIN008104	LOC129796076
OG0004113	AMIN010950	LOC129794209
OG0004114	AMIN002105	LOC129790317
OG0004115	AMIN002089	LOC129790948
OG0004116	AMIN002023	LOC129789497
OG0004117	AMIN003853	LOC129789654
OG0004118	AMIN011292	LOC129790356
OG0004119	AMIN002640	LOC129790049
OG0004120	AMIN003439	LOC129785895
OG0004121	AMIN003438	LOC129795193
OG0004122	AMIN003432	LOC129797621
OG0004123	AMIN002638	LOC129797591
OG0004124	AMIN000944	LOC129787947
OG0004125	AMIN003448	LOC129787646
OG0004126	AMIN000946	LOC129787978
OG0004127	AMIN003436	LOC129797572
OG0004128	AMIN003431	LOC129797439
OG0004129	AMIN002639	LOC129797504
OG0004130	AMIN003443	LOC129793812
OG0004131	AMIN002641	LOC129789012
OG0004132	AMIN003434	LOC129797550
OG0004133	AMIN003442	LOC129793286
OG0004134	AMIN006853	LOC129795451
OG0004136	AMIN005019	LOC129795058
OG0004137	AMIN004297	LOC129796481
OG0004140	AMIN003024	LOC129787066
OG0004141	AMIN001377	LOC129790224
OG0004142	AMIN001385	LOC129786252
OG0004143	AMIN001424	LOC129786856
OG0004144	AMIN001423	LOC129786857
OG0004145	AMIN001427	LOC129794925
OG0004146	AMIN001429	LOC129788437
OG0004147	AMIN007076	LOC129790545
OG0004148	AMIN007078	LOC129790547
OG0004149	AMIN007062	LOC129790242
OG0004150	AMIN000770	LOC129785952
OG0004151	AMIN000825	LOC129794666
OG0004152	AMIN008366	LOC129796388
OG0004153	AMIN000768	LOC129785928
OG0004154	AMIN010408	LOC129791617
OG0004155	AMIN011159	LOC129791562
OG0004156	AMIN010409	LOC129793575
OG0004158	AMIN010261	LOC129793259
OG0004159	AMIN005538	LOC129790712
OG0004160	AMIN000094	LOC129788160
OG0004161	AMIN000092	LOC129788163
OG0004162	AMIN010888	LOC129792719
OG0004163	AMIN000678	LOC129786091
OG0004164	AMIN000383	LOC129795646
OG0004165	AMIN000685	LOC129793722
OG0004166	AMIN000677	LOC129786148
OG0004167	AMIN000683	LOC129786033
OG0004168	AMIN002621	LOC129790701
OG0004169	AMIN002623	LOC129797561
OG0004170	AMIN002618	LOC129790657
OG0004171	AMIN000687	LOC129785964
OG0004172	AMIN000686	LOC129786114
OG0004173	AMIN000731	LOC129797722
OG0004174	AMIN004802	LOC129787281
OG0004175	AMIN000037	LOC129797551
OG0004176	AMIN003968	LOC129797699
OG0004177	AMIN004776	LOC129792609
OG0004178	AMIN004801	LOC129787285
OG0004179	AMIN000038	LOC129786766
OG0004180	AMIN002659	LOC129788803
OG0004181	AMIN000934	LOC129789962
OG0004182	AMIN004799	LOC129788020
OG0004183	AMIN015524	LOC129796649
OG0004184	AMIN004795	LOC129787786
OG0004185	AMIN000039	LOC129786780
OG0004186	AMIN009315	LOC129794004
OG0004187	AMIN004864	LOC129789129
OG0004188	AMIN004335	LOC129796267
OG0004189	AMIN008254	LOC129796245
OG0004190	AMIN008269	LOC129795749
OG0004191	AMIN004334	LOC129796187
OG0004192	AMIN004337	LOC129796522
OG0004193	AMIN008272	LOC129795813
OG0004194	AMIN009317	LOC129794061
OG0004195	AMIN009326	LOC129795961
OG0004196	AMIN008497	LOC129794918
OG0004197	AMIN004910	LOC129790233
OG0004198	AMIN000596	LOC129788769
OG0004199	AMIN002851	LOC129793774
OG0004200	AMIN000598	LOC129788977
OG0004201	AMIN002853	LOC129797144
OG0004202	AMIN005330	LOC129790591
OG0004203	AMIN005329	LOC129790017
OG0004204	AMIN009785	LOC129797138
OG0004205	AMIN002137	LOC129787890
OG0004206	AMIN005205	LOC129788187
OG0004207	AMIN005595	LOC129788688
OG0004209	AMIN005693	LOC129792582
OG0004210	AMIN005587	LOC129788992
OG0004211	AMIN005332	LOC129792518
OG0004212	AMIN004406	LOC129794850
OG0004213	AMIN004965	LOC129792761
OG0004214	AMIN005811	LOC129789083
OG0004215	AMIN002051	LOC129789454
OG0004216	AMIN005856	LOC129790818
OG0004217	AMIN005810	LOC129788396
OG0004218	AMIN005627	LOC129788793
OG0004219	AMIN008248	LOC129797329
OG0004220	AMIN015798	LOC129786270
OG0004221	AMIN015797	LOC129786283
OG0004222	AMIN000923	LOC129786281
OG0004223	AMIN000918	LOC129786257
OG0004224	AMIN000802	LOC129794609
OG0004225	AMIN003252	LOC129793398
OG0004226	AMIN003249	LOC129793324
OG0004227	AMIN000285	LOC129790404
OG0004229	AMIN000283	LOC129787527
OG0004230	AMIN003893	LOC129786717
OG0004231	AMIN003338	LOC129786073
OG0004232	AMIN005732	LOC129795134
OG0004233	AMIN005517	LOC129788491
OG0004234	AMIN005522	LOC129788488
OG0004236	AMIN005531	LOC129789340
OG0004237	AMIN005496	LOC129785900
OG0004238	AMIN005743	LOC129797859
OG0004239	AMIN005548	LOC129785894
OG0004240	AMIN011041	LOC129792012
OG0004241	AMIN011044	LOC129793037
OG0004242	AMIN011042	LOC129794009
OG0004243	AMIN011046	LOC129793034
OG0004244	AMIN008006	LOC129796073
OG0004245	AMIN011349	LOC129793041
OG0004246	AMIN007385	LOC129793354
OG0004247	AMIN005987	LOC129789086
OG0004248	AMIN008005	LOC129794871
OG0004249	AMIN011040	LOC129791866
OG0004250	AMIN011277	LOC129791791
OG0004251	AMIN011271	LOC129791597
OG0004252	AMIN011270	LOC129792897
OG0004253	AMIN003355	LOC129787965
OG0004254	AMIN008363	LOC129796107
OG0004255	AMIN008062	LOC129791718
OG0004256	AMIN008061	LOC129791716
OG0004257	AMIN000171	LOC129796910
OG0004258	AMIN001363	LOC129790556
OG0004259	AMIN004253	LOC129796016
OG0004260	AMIN004502	LOC129795946
OG0004261	AMIN008215	LOC129796540
OG0004262	AMIN004501	LOC129795495
OG0004263	AMIN007257	LOC129788719
OG0004264	AMIN010832	LOC129789164
OG0004265	AMIN007261	LOC129788715
OG0004267	AMIN003477	LOC129797502
OG0004268	AMIN015882	LOC129788176
OG0004269	AMIN003877	LOC129788205
OG0004270	AMIN003523	LOC129785879
OG0004271	AMIN003522	LOC129785875
OG0004272	AMIN001510	LOC129791302
OG0004273	AMIN009978	LOC129786448
OG0004274	AMIN010779	LOC129787401
OG0004275	AMIN011639	LOC129797620
OG0004276	AMIN006016	LOC129788646
OG0004277	AMIN009713	LOC129794068
OG0004278	AMIN010773	LOC129789884
OG0004279	AMIN010778	LOC129787880
OG0004280	AMIN010774	LOC129787100
OG0004281	AMIN009712	LOC129794174
OG0004282	AMIN009600	LOC129788635
OG0004283	AMIN010782	LOC129786979
OG0004284	AMIN010762	LOC129786747
OG0004285	AMIN006581	LOC129790903
OG0004286	AMIN006576	LOC129795286
OG0004287	AMIN009179	LOC129795516
OG0004288	AMIN006577	LOC129790180
OG0004289	AMIN008963	LOC129796070
OG0004290	AMIN006123	LOC129797127
OG0004291	AMIN009613	LOC129790338
OG0004292	AMIN006129	LOC129791305
OG0004293	AMIN006127	LOC129788514
OG0004294	AMIN006110	LOC129790330
OG0004295	AMIN010037	LOC129792159
OG0004298	AMIN000433	LOC129786603
OG0004299	AMIN000504	LOC129797200
OG0004300	AMIN000509	LOC129797192
OG0004301	AMIN000435	LOC129788637
OG0004302	AMIN003670	LOC129797180
OG0004303	AMIN000443	LOC129797146
OG0004304	AMIN003677	LOC129797191
OG0004305	AMIN003665	LOC129793406
OG0004306	AMIN000442	LOC129797154
OG0004307	AMIN003673	LOC129797188
OG0004308	AMIN000440	LOC129797136
OG0004309	AMIN000506	LOC129797196
OG0004310	AMIN003672	LOC129797190
OG0004311	AMIN003671	LOC129797185
OG0004312	AMIN015536	LOC129791838
OG0004313	AMIN008621	LOC129795981
OG0004314	AMIN008620	LOC129795675
OG0004315	AMIN008973	LOC129796219
OG0004316	AMIN004277	LOC129797479
OG0004317	AMIN008614	LOC129788043
OG0004318	AMIN004500	LOC129796482
OG0004319	AMIN008612	LOC129795405
OG0004320	AMIN002068	LOC129790422
OG0004321	AMIN008613	LOC129795402
OG0004322	AMIN008975	LOC129794173
OG0004324	AMIN008974	LOC129796216
OG0004325	AMIN004270	LOC129796035
OG0004326	AMIN008984	LOC129791895
OG0004328	AMIN008618	LOC129796026
OG0004330	AMIN008976	LOC129787389
OG0004331	AMIN010558	LOC129791627
OG0004332	AMIN010207	LOC129792902
OG0004333	AMIN006960	LOC129796259
OG0004335	AMIN008998	LOC129788568
OG0004336	AMIN008567	LOC129795893
OG0004337	AMIN006594	LOC129795509
OG0004338	AMIN010483	LOC129791631
OG0004339	AMIN006959	LOC129796124
OG0004341	AMIN015651	LOC129795521
OG0004342	AMIN010363	LOC129791801
OG0004343	AMIN003429	LOC129797708
OG0004344	AMIN007978	LOC129785927
OG0004345	AMIN011229	LOC129787923
OG0004346	AMIN003424	LOC129797724
OG0004347	AMIN006324	LOC129790570
OG0004348	AMIN007447	LOC129795561
OG0004349	AMIN008280	LOC129796051
OG0004350	AMIN001583	LOC129794080
OG0004351	AMIN006327	LOC129796939
OG0004352	AMIN001652	LOC129789655
OG0004353	AMIN008256	LOC129796166
OG0004354	AMIN001205	LOC129790550
OG0004355	AMIN008283	LOC129794625
OG0004356	AMIN006325	LOC129796937
OG0004357	AMIN008259	LOC129795056
OG0004358	AMIN006322	LOC129790553
OG0004359	AMIN008257	LOC129796056
OG0004360	AMIN004518	LOC129795157
OG0004361	AMIN001584	LOC129794100
OG0004362	AMIN008284	LOC129792504
OG0004363	AMIN006586	LOC129785993
OG0004365	AMIN010000	LOC129793105
OG0004366	AMIN010004	LOC129793000
OG0004367	AMIN010001	LOC129793104
OG0004368	AMIN010003	LOC129792045
OG0004369	AMIN000181	LOC129790786
OG0004371	AMIN005422	LOC129786049
OG0004372	AMIN010983	LOC129787655
OG0004373	AMIN011248	LOC129793957
OG0004374	AMIN005421	LOC129786097
OG0004375	AMIN004478	LOC129795000
OG0004377	AMIN003760	LOC129793893
OG0004378	AMIN000559	LOC129797408
OG0004379	AMIN009399	LOC129791134
OG0004380	AMIN000556	LOC129786491
OG0004381	AMIN005404	LOC129791111
OG0004382	AMIN015792	LOC129797400
OG0004383	AMIN006833	LOC129795824
OG0004385	AMIN000560	LOC129797414
OG0004386	AMIN009398	LOC129789070
OG0004387	AMIN002153	LOC129792949
OG0004388	AMIN009400	LOC129786367
OG0004389	AMIN009401	LOC129789110
OG0004390	AMIN009397	LOC129791862
OG0004391	AMIN006835	LOC129793631
OG0004392	AMIN006826	LOC129790904
OG0004393	AMIN006828	LOC129788986
OG0004394	AMIN006832	LOC129789788
OG0004395	AMIN006830	LOC129792048
OG0004396	AMIN002155	LOC129786500
OG0004397	AMIN007748	LOC129792525
OG0004398	AMIN010125	LOC129792621
OG0004399	AMIN007752	LOC129791903
OG0004400	AMIN007749	LOC129791998
OG0004401	AMIN010525	LOC129792083
OG0004402	AMIN007750	LOC129791879
OG0004403	AMIN010522	LOC129792099
OG0004404	AMIN003458	LOC129786662
OG0004405	AMIN004781	LOC129787761
OG0004406	AMIN004702	LOC129790406
OG0004408	AMIN004705	LOC129786290
OG0004409	AMIN010792	LOC129793499
OG0004410	AMIN006514	LOC129795808
OG0004412	AMIN003818	LOC129788085
OG0004414	AMIN003815	LOC129788125
OG0004415	AMIN003816	LOC129788123
OG0004417	AMIN005602	LOC129790075
OG0004418	AMIN009207	LOC129796241
OG0004419	AMIN003581	LOC129789891
OG0004420	AMIN009204	LOC129794980
OG0004421	AMIN009208	LOC129796178
OG0004422	AMIN009205	LOC129786964
OG0004423	AMIN009202	LOC129797817
OG0004424	AMIN009199	LOC129797477
OG0004425	AMIN009200	LOC129797506
OG0004426	AMIN009404	LOC129789041
OG0004427	AMIN009209	LOC129786503
OG0004428	AMIN002877	LOC129794234
OG0004429	AMIN003279	LOC129795086
OG0004430	AMIN003636	LOC129795723
OG0004431	AMIN004818	LOC129795500
OG0004432	AMIN003637	LOC129795687
OG0004433	AMIN004819	LOC129795474
OG0004434	AMIN003277	LOC129795127
OG0004435	AMIN005090	LOC129790114
OG0004436	AMIN003278	LOC129797595
OG0004437	AMIN003638	LOC129795467
OG0004438	AMIN000760	LOC129794418
OG0004440	AMIN002650	LOC129787437
OG0004441	AMIN002651	LOC129786615
OG0004442	AMIN000031	LOC129789400
OG0004443	AMIN004671	LOC129787413
OG0004444	AMIN002649	LOC129786243
OG0004445	AMIN004672	LOC129787422
OG0004446	AMIN002653	LOC129787445
OG0004447	AMIN000028	LOC129792261
OG0004448	AMIN015893	LOC129787292
OG0004449	AMIN006753	LOC129791309
OG0004450	AMIN006754	LOC129794830
OG0004451	AMIN005948	LOC129789999
OG0004452	AMIN000784	LOC129792864
OG0004453	AMIN008666	LOC129796698
OG0004454	AMIN008243	LOC129795338
OG0004455	AMIN008232	LOC129796327
OG0004456	AMIN008669	LOC129787030
OG0004458	AMIN008226	LOC129797073
OG0004459	AMIN008236	LOC129788567
OG0004460	AMIN008235	LOC129796325
OG0004461	AMIN008237	LOC129795131
OG0004463	AMIN008262	LOC129795816
OG0004464	AMIN004346	LOC129795666
OG0004465	AMIN008389	LOC129796451
OG0004466	AMIN004341	LOC129795671
OG0004467	AMIN008263	LOC129796349
OG0004468	AMIN004342	LOC129795637
OG0004469	AMIN016166	LOC129787113
OG0004470	AMIN003133	LOC129796807
OG0004472	AMIN000667	LOC129785962
OG0004473	AMIN015491	LOC129796798
OG0004474	AMIN000666	LOC129797279
OG0004475	AMIN002914	LOC129787120
OG0004476	AMIN005763	LOC129789912
OG0004477	AMIN002027	LOC129788597
OG0004478	AMIN005401	LOC129790411
OG0004479	AMIN011155	LOC129795187
OG0004480	AMIN011596	LOC129788871
OG0004481	AMIN009349	LOC129794985
OG0004482	AMIN008537	LOC129795062
OG0004483	AMIN008542	LOC129796535
OG0004484	AMIN009356	LOC129794759
OG0004485	AMIN009355	LOC129795425
OG0004486	AMIN008533	LOC129795132
OG0004487	AMIN009354	LOC129795353
OG0004488	AMIN001947	LOC129796657
OG0004489	AMIN000519	LOC129786102
OG0004490	AMIN004049	LOC129796805
OG0004492	AMIN000513	LOC129796833
OG0004493	AMIN000520	LOC129785991
OG0004494	AMIN016089	LOC129795819
OG0004495	AMIN000148	LOC129786146
OG0004496	AMIN001206	LOC129788601
OG0004497	AMIN007782	LOC129793005
OG0004498	AMIN005142	LOC129791342
OG0004499	AMIN005071	LOC129788417
OG0004500	AMIN008081	LOC129791665
OG0004501	AMIN005817	LOC129790176
OG0004502	AMIN005134	LOC129791380
OG0004503	AMIN011427	LOC129791789
OG0004504	AMIN003993	LOC129792017, LOC129792117
OG0004505	AMIN003994	LOC129792076
OG0004506	AMIN004001	LOC129786415
OG0004507	AMIN004003	LOC129786516
OG0004508	AMIN003990	LOC129790871
OG0004510	AMIN003991	LOC129797500
OG0004511	AMIN005127	LOC129786867
OG0004512	AMIN005582	LOC129789334
OG0004513	AMIN011190	LOC129790885
OG0004514	AMIN005784	LOC129790881
OG0004515	AMIN004860	LOC129786765
OG0004516	AMIN005128	LOC129786755
OG0004517	AMIN005461	LOC129790991
OG0004518	AMIN005126	LOC129786761
OG0004519	AMIN007802	LOC129791997
OG0004520	AMIN010602	LOC129791985
OG0004521	AMIN000966	LOC129786280
OG0004522	AMIN006289	LOC129791386
OG0004523	AMIN000967	LOC129786285
OG0004524	AMIN006288	LOC129796848
OG0004525	AMIN006290	LOC129791343
OG0004526	AMIN003725	LOC129795069
OG0004527	AMIN010861	LOC129793228
OG0004529	AMIN006293	LOC129791050
OG0004531	AMIN007204	LOC129787607
OG0004532	AMIN007197	LOC129794103
OG0004533	AMIN007192	LOC129794151
OG0004534	AMIN002205	LOC129794717
OG0004535	AMIN007200	LOC129794160
OG0004536	AMIN002327	LOC129794123
OG0004537	AMIN004974	LOC129794825
OG0004538	AMIN004972	LOC129790123
OG0004539	AMIN004959	LOC129796318
OG0004540	AMIN004975	LOC129787672
OG0004541	AMIN006892	LOC129796299
OG0004542	AMIN004960	LOC129796315
OG0004543	AMIN002460	LOC129794882
OG0004544	AMIN015759	LOC129793040
OG0004545	AMIN002322	LOC129791949
OG0004546	AMIN003808	LOC129796980, LOC129796979
OG0004547	AMIN016216	LOC129794893
OG0004548	AMIN016260	LOC129794813
OG0004549	AMIN002830	LOC129796616
OG0004550	AMIN002315	LOC129797172
OG0004551	AMIN002459	LOC129792560
OG0004552	AMIN004663	LOC129786262
OG0004553	AMIN004081	LOC129785999
OG0004554	AMIN002598	LOC129788910
OG0004555	AMIN002604	LOC129788916
OG0004556	AMIN001291	LOC129794651
OG0004557	AMIN005234	LOC129788800
OG0004558	AMIN001292	LOC129794662
OG0004559	AMIN005235	LOC129793685
OG0004560	AMIN008430	LOC129795598
OG0004562	AMIN008438	LOC129797323
OG0004563	AMIN015966	LOC129797644
OG0004564	AMIN008428	LOC129796609
OG0004565	AMIN008424	LOC129797578
OG0004566	AMIN008437	LOC129797321
OG0004567	AMIN008426	LOC129797451
OG0004568	AMIN008433	LOC129790944
OG0004569	AMIN011406	LOC129797528
OG0004570	AMIN003750	LOC129785853
OG0004572	AMIN003747	LOC129796927
OG0004574	AMIN001914	LOC129788477
OG0004575	AMIN003752	LOC129796936
OG0004576	AMIN003748	LOC129796925
OG0004578	AMIN003749	LOC129785880
OG0004579	AMIN001832	LOC129790198
OG0004580	AMIN001824	LOC129792729
OG0004581	AMIN001823	LOC129793056
OG0004582	AMIN001829	LOC129792763
OG0004583	AMIN001831	LOC129791294
OG0004584	AMIN001826	LOC129792857
OG0004585	AMIN001835	LOC129790289
OG0004586	AMIN001471	LOC129793183
OG0004587	AMIN015993	LOC129788838
OG0004588	AMIN009103	LOC129791440
OG0004589	AMIN015739	LOC129791167
OG0004591	AMIN001470	LOC129786206
OG0004592	AMIN001468	LOC129786207
OG0004593	AMIN015740	LOC129788325
OG0004594	AMIN009725	LOC129790548
OG0004595	AMIN000572	LOC129795422
OG0004596	AMIN015623	LOC129789550
OG0004597	AMIN000577	LOC129788024
OG0004598	AMIN000571	LOC129787712
OG0004599	AMIN000580	LOC129787393
OG0004600	AMIN000583	LOC129789551
OG0004601	AMIN003363	LOC129791921
OG0004602	AMIN000574	LOC129789541
OG0004603	AMIN000579	LOC129796244
OG0004604	AMIN000569	LOC129786203
OG0004605	AMIN007860	LOC129796469
OG0004606	AMIN007875	LOC129792372
OG0004607	AMIN007869	LOC129792373
OG0004608	AMIN003002	LOC129797256
OG0004609	AMIN000880	LOC129789329
OG0004610	AMIN004223	LOC129797243
