Orthogroup	LlongipalpisASM	Aalbopictus_AalbF5
OG0003553	LOC129786788	LOC109399541
OG0003554	LOC129796293	LOC109405134
OG0003555	LOC129785975	LOC109400049
OG0003556	LOC129791577	LOC134291425
OG0003557	LOC129787107	LOC134291430
OG0003558	LOC129794963	LOC109405425
OG0003559	LOC129792262	LOC134291428
OG0003560	LOC129797671	LOC109399515
OG0003561	LOC129797643	LOC115254205
OG0003562	LOC129797302	LOC109409555
OG0003563	LOC129788056	LOC115255251
OG0003564	LOC129789763	LOC109413249
OG0003565	LOC129790178	LOC109413211
OG0003566	LOC129789708	LOC115253885, LOC109406276
OG0003567	LOC129788681	LOC109424955
OG0003568	LOC129792476	LOC109405972
OG0003569	LOC129789696	LOC115254882
OG0003570	LOC129792469	LOC109398173
OG0003571	LOC129792552	LOC109417392
OG0003572	LOC129789449	LOC109413212
OG0003573	LOC129792606	LOC109407036
OG0003574	LOC129795156	LOC109424927
OG0003575	LOC129792477	LOC134288105
OG0003576	LOC129787075	LOC109424411
OG0003577	LOC129795698	LOC109424465
OG0003578	LOC129793824	LOC115265305
OG0003579	LOC129792212	LOC115265304
OG0003580	LOC129795650	LOC109424464
OG0003581	LOC129792959	LOC109402593
OG0003582	LOC129795534	LOC109422366
OG0003583	LOC129796134	LOC109422376
OG0003584	LOC129788077	LOC109424414
OG0003585	LOC129793862	LOC115265303
OG0003586	LOC129796668	LOC109422364
OG0003587	LOC129795612	LOC109424463
OG0003588	LOC129796662	LOC109424461
OG0003589	LOC129787088	LOC109422314
OG0003590	LOC129789948	LOC109420593
OG0003591	LOC129788134	LOC109400732
OG0003592	LOC129789845	LOC109420675
OG0003593	LOC129792185	LOC109399417
OG0003594	LOC129793892	LOC109420670
OG0003595	LOC129787567	LOC109405768
OG0003596	LOC129790940	LOC109413918
OG0003597	LOC129792184	LOC109399373
OG0003598	LOC129791441	LOC109420686
OG0003599	LOC129793080	LOC109399434
OG0003600	LOC129787985	LOC109400747
OG0003601	LOC129795585	LOC109411046
OG0003602	LOC129786743	LOC109430140
OG0003603	LOC129795281	LOC109407641
OG0003604	LOC129794802	LOC109411781
OG0003605	LOC129795577	LOC115256313
OG0003606	LOC129793886	LOC109411036
OG0003607	LOC129786428	LOC109411012
OG0003608	LOC129795288	LOC109411026
OG0003609	LOC129796640	LOC109425970
OG0003610	LOC129795060	LOC109411605
OG0003611	LOC129796622	LOC109411616
OG0003612	LOC129795089	LOC109406883
OG0003613	LOC129796298	LOC109411624
OG0003614	LOC129795746	LOC115261433
OG0003615	LOC129786027	LOC115261159
OG0003616	LOC129786680	LOC109428131
OG0003617	LOC129786055	LOC109428125
OG0003618	LOC129795506	LOC109427244
OG0003619	LOC129796830	LOC115256322
OG0003620	LOC129795044	LOC109427237
OG0003621	LOC129796782	LOC115257318
OG0003622	LOC129795074	LOC109406885
OG0003623	LOC129795904	LOC115254069
OG0003624	LOC129795879	LOC109411617
OG0003625	LOC129792264	LOC109411603
OG0003626	LOC129796570	LOC109427216
OG0003627	LOC129792746	LOC115260369
OG0003628	LOC129796774	LOC109411635
OG0003629	LOC129795587	LOC115261429
OG0003630	LOC129786688	LOC109428133
OG0003631	LOC129796441	LOC109428147
OG0003632	LOC129796329	LOC109427257
OG0003633	LOC129786659	LOC109411639
OG0003634	LOC129795903	LOC109411619
OG0003635	LOC129796340	LOC109411628
OG0003636	LOC129786096	LOC109403735
OG0003638	LOC129794615	LOC109403717
OG0003639	LOC129788595	LOC109398955
OG0003640	LOC129794607	LOC109403714
OG0003641	LOC129791035	LOC109403729
OG0003642	LOC129790423	LOC109398940
OG0003643	LOC129786057	LOC109403731
OG0003644	LOC129790985	LOC115261221
OG0003645	LOC129794608	LOC109398956
OG0003646	LOC129786077	LOC109403733
OG0003647	LOC129796818	LOC109403314
OG0003648	LOC129796899	LOC109406163
OG0003649	LOC129791020	LOC109403725
OG0003650	LOC129793874	LOC109621451
OG0003652	LOC129796478	LOC115267985
OG0003653	LOC129795520	LOC109421757
OG0003654	LOC129789748	LOC109414053
OG0003655	LOC129795362	LOC109421752
OG0003656	LOC129792646	LOC109406140
OG0003657	LOC129791456	LOC115253903
OG0003658	LOC129793192	LOC109421745
OG0003659	LOC129797525	LOC115254427
OG0003660	LOC129795340	LOC109421751
OG0003661	LOC129791328	LOC115264933
OG0003662	LOC129791321	LOC109404231
OG0003663	LOC129792790	LOC109403784
OG0003664	LOC129788586	LOC109621667
OG0003665	LOC129788592	LOC115265601
OG0003666	LOC129788593	LOC109621623
OG0003667	LOC129791376	LOC109414029
OG0003668	LOC129792205	LOC109419315
OG0003669	LOC129790943	LOC109402089
OG0003670	LOC129791316	LOC109414027
OG0003671	LOC129791268	LOC109414021
OG0003672	LOC129791378	LOC109414024
OG0003673	LOC129786534	LOC109419320
OG0003674	LOC129790223	LOC109414044
OG0003675	LOC129795284	LOC109426059
OG0003676	LOC129796162	LOC109426032
OG0003677	LOC129796566	LOC109426040
OG0003678	LOC129795025	LOC109426026
OG0003679	LOC129795572	LOC109426028
OG0003680	LOC129795199	LOC109426048
OG0003681	LOC129797081	LOC109426018
OG0003682	LOC129786154	LOC109426016
OG0003683	LOC129795283	LOC115268044
OG0003684	LOC129790277	LOC109426019
OG0003685	LOC129796849	LOC109426011
OG0003686	LOC129795007	LOC109426027
OG0003687	LOC129795736	LOC109426039
OG0003688	LOC129790067	LOC109429545
OG0003689	LOC129789938	LOC109429546
OG0003690	LOC129789598	LOC109429543
OG0003691	LOC129789900	LOC109429539
OG0003692	LOC129789643	LOC109429540
OG0003693	LOC129788968	LOC109429897
OG0003694	LOC129790321	LOC109429888
OG0003695	LOC129790270	LOC109429544
OG0003696	LOC129790260, LOC129790228	LOC109429886
OG0003697	LOC129790091	LOC109415442
OG0003698	LOC129790665	LOC109429892
OG0003699	LOC129789480	LOC109429534
OG0003700	LOC129796650	LOC109418901, LOC134287423
OG0003701	LOC129788750	LOC109418934
OG0003702	LOC129792654	LOC109407762
OG0003703	LOC129792573	LOC109418941
OG0003704	LOC129792651	LOC109418935
OG0003705	LOC129792567	LOC109418893
OG0003706	LOC129796493	LOC109401655
OG0003707	LOC129786010	LOC115253991
OG0003708	LOC129794621	LOC109420330
OG0003709	LOC129794641	LOC109420345
OG0003711	LOC129795606	LOC109405798
OG0003712	LOC129796483	LOC109401684
OG0003713	LOC129793402	LOC109420336
OG0003714	LOC129795697	LOC109418841
OG0003715	LOC129792278	LOC109418843
OG0003716	LOC129795395	LOC109420297
OG0003717	LOC129795760	LOC115258006
OG0003718	LOC129796297	LOC115254199
OG0003719	LOC129797532	LOC115269090
OG0003720	LOC129797122	LOC109622066
OG0003721	LOC129797425	LOC109622072
OG0003722	LOC129795293	LOC115255993
OG0003723	LOC129796075	LOC115267896
OG0003724	LOC129786539	LOC109622065
OG0003725	LOC129786461	LOC109413913
OG0003726	LOC129796416	LOC109408986
OG0003727	LOC129795882	LOC109426484
OG0003728	LOC129793198	LOC109426510
OG0003729	LOC129787043	LOC109408989
OG0003730	LOC129786056	LOC109413925
OG0003731	LOC129786121	LOC109408356
OG0003732	LOC129795782	LOC115267813, LOC109432291
OG0003733	LOC129795575	LOC109397114, LOC109432310
OG0003734	LOC129796397	LOC109432315
OG0003735	LOC129795450	LOC109432245
OG0003736	LOC129786131	LOC109397001
OG0003737	LOC129793345	LOC109397027
OG0003738	LOC129795661	LOC109397005
OG0003739	LOC129795105	LOC109397130, LOC134291773
OG0003740	LOC129794583	LOC109432325
OG0003741	LOC129794652	LOC109432250
OG0003742	LOC129796940	LOC109432293
OG0003743	LOC129796175	LOC109432241
OG0003744	LOC129787682	LOC109432312
OG0003745	LOC129796655	LOC109403358
OG0003746	LOC129786660	LOC115267936
OG0003747	LOC129795706	LOC109622177
OG0003748	LOC129795737	LOC109403176
OG0003750	LOC129796696	LOC109406089
OG0003751	LOC129796060	LOC109403162
OG0003752	LOC129796702	LOC109410749
OG0003753	LOC129785992	LOC109410746
OG0003754	LOC129787848	LOC109622178
OG0003755	LOC129793671	LOC109403183
OG0003756	LOC129793923	LOC109418420
OG0003757	LOC129790377	LOC109415615
OG0003758	LOC129792889	LOC109404753
OG0003759	LOC129788198	LOC109418419
OG0003760	LOC129792979	LOC109418058
OG0003761	LOC129794276	LOC109420434
OG0003762	LOC129797003	LOC109426153
OG0003763	LOC129789869	LOC109415611
OG0003764	LOC129786750	LOC109416910
OG0003765	LOC129789640	LOC109398753
OG0003766	LOC129786137	LOC109398748
OG0003767	LOC129787278	LOC109398754
OG0003768	LOC129787220	LOC109410375
OG0003769	LOC129797259	LOC109398746
OG0003770	LOC129794687	LOC109398750
OG0003771	LOC129786318	LOC109410380
OG0003772	LOC129794048	LOC109398755
OG0003773	LOC129794610	LOC109398756
OG0003774	LOC129786319	LOC109398743
OG0003775	LOC129797289	LOC109410403
OG0003776	LOC129797262	LOC109398749
OG0003777	LOC129792601	LOC109405835
OG0003778	LOC129797790	LOC109410391
OG0003779	LOC129787044	LOC109415535
OG0003780	LOC129794268	LOC109430901
OG0003781	LOC129796564	LOC109407566
OG0003782	LOC129795287	LOC109425828
OG0003783	LOC129795887	LOC134286285, LOC109425815
OG0003784	LOC129795748	LOC115262042
OG0003785	LOC129795791	LOC109425820
OG0003786	LOC129793587	LOC109411218
OG0003787	LOC129787656	LOC109411242
OG0003788	LOC129790842	LOC109425827
OG0003789	LOC129787535	LOC109398252
OG0003790	LOC129792315	LOC109411216
OG0003791	LOC129796785	LOC109398246
OG0003792	LOC129795794	LOC109407680
OG0003793	LOC129797536	LOC109411230
OG0003795	LOC129796999	LOC109411225
OG0003796	LOC129794765	LOC134289929
OG0003797	LOC129793405	LOC109411217
OG0003798	LOC129795804	LOC109407563
OG0003799	LOC129797071	LOC115262210
OG0003800	LOC129796551	LOC109411213
OG0003801	LOC129797129	LOC115262200
OG0003802	LOC129788883	LOC109419591, LOC134287813
OG0003803	LOC129788544	LOC109419613
OG0003804	LOC129790024	LOC109409267
OG0003805	LOC129790554	LOC109621277
OG0003806	LOC129791831	LOC115263310
OG0003807	LOC129785977	LOC109409264
OG0003808	LOC129790694	LOC109409261
OG0003809	LOC129795098	LOC109409246
OG0003810	LOC129786185	LOC109419587
OG0003811	LOC129788538	LOC109397556
OG0003812	LOC129789395	LOC109409251
OG0003813	LOC129797245	LOC109405054
OG0003814	LOC129788480	LOC109419584
OG0003815	LOC129789311	LOC109621903
OG0003816	LOC129789360	LOC109407359
OG0003817	LOC129789371	LOC109418063
OG0003818	LOC129788522	LOC109421660
OG0003819	LOC129789326	LOC109421657
OG0003820	LOC129793569	LOC109418121
OG0003821	LOC129788922	LOC109418092
OG0003822	LOC129790294	LOC109421652
OG0003823	LOC129791364	LOC109421661
OG0003824	LOC129796048	LOC109418088
OG0003825	LOC129790213	LOC109407331
OG0003826	LOC129790096	LOC109421651
OG0003827	LOC129789327	LOC109421655
OG0003829	LOC129792420	LOC109419705
OG0003830	LOC129789300	LOC109420550
OG0003831	LOC129788392	LOC109421283
OG0003832	LOC129792364	LOC115269199
OG0003833	LOC129791512	LOC109416315
OG0003834	LOC129794011, LOC129793411	LOC109407393
OG0003835	LOC129794200	LOC109416260
OG0003836	LOC129791935	LOC115254106
OG0003837	LOC129793291	LOC115263293
OG0003838	LOC129793577	LOC109416078
OG0003839	LOC129793582	LOC109407396
OG0003841	LOC129791689	LOC134284770
OG0003842	LOC129792378	LOC109428901
OG0003846	LOC129796618	LOC109428902
OG0003848	LOC129788626	LOC109429504
OG0003849	LOC129792549	LOC109429505
OG0003850	LOC129794178	LOC115264917
OG0003851	LOC129794656	LOC109431766
OG0003852	LOC129787143	LOC109429502
OG0003853	LOC129794762	LOC109402996
OG0003854	LOC129792256	LOC109418955
OG0003855	LOC129793654	LOC109418956
OG0003856	LOC129794458	LOC115264726
OG0003857	LOC129794772	LOC109403006
OG0003859	LOC129794877	LOC109429508
OG0003862	LOC129793368	LOC109430619
OG0003863	LOC129789769	LOC109423692
OG0003864	LOC129793292	LOC109430632
OG0003865	LOC129793359	LOC109423779
OG0003866	LOC129793341	LOC109430596
OG0003867	LOC129793294	LOC115270261
OG0003868	LOC129793380	LOC109423766
OG0003869	LOC129793383	LOC109430625
OG0003870	LOC129794261	LOC109423770
OG0003871	LOC129793400	LOC109430631
OG0003872	LOC129791611	LOC109418106
OG0003873	LOC129794098	LOC109418087
OG0003874	LOC129792874	LOC109418108
OG0003875	LOC129792872	LOC109418109
OG0003877	LOC129792461	LOC109418090
OG0003878	LOC129793216	LOC109406441
OG0003879	LOC129792082	LOC109413160
OG0003880	LOC129793146	LOC109406436
OG0003881	LOC129792873	LOC109413107
OG0003882	LOC129791794	LOC109418094
OG0003883	LOC129792463	LOC109418080
OG0003884	LOC129793388	LOC109418082
OG0003885	LOC129789514	LOC109428435
OG0003886	LOC129792377	LOC109418097
OG0003887	LOC129792093	LOC109418098
OG0003888	LOC129795095	LOC109428434
OG0003889	LOC129789282	LOC109403571
OG0003890	LOC129792297	LOC109423744
OG0003891	LOC129790002	LOC109422967
OG0003892	LOC129787543	LOC109422970
OG0003893	LOC129790967	LOC109403574
OG0003894	LOC129787471	LOC109423751
OG0003895	LOC129790996	LOC109412366
OG0003896	LOC129796653	LOC109432905
OG0003897	LOC129788534	LOC109432867
OG0003898	LOC129788529	LOC109401363
OG0003899	LOC129788543	LOC109432871
OG0003900	LOC129788533	LOC109401385
OG0003901	LOC129788530	LOC115257192
OG0003902	LOC129788526	LOC109432899
OG0003903	LOC129790453	LOC109412371
OG0003904	LOC129793226	LOC109401408
OG0003905	LOC129794991	LOC109422443
OG0003906	LOC129796270	LOC109400000
OG0003907	LOC129796034	LOC109424498
OG0003908	LOC129796008	LOC109422445
OG0003910	LOC129793089	LOC109622492
OG0003911	LOC129793404	LOC109423549
OG0003912	LOC129791882	LOC109622343
OG0003913	LOC129792257	LOC109408343
OG0003914	LOC129795941	LOC109423281
OG0003915	LOC129794321	LOC109622491
OG0003916	LOC129791810	LOC109423363
OG0003917	LOC129791745	LOC109408687
OG0003918	LOC129794255	LOC109622488
OG0003919	LOC129791798	LOC115254498
OG0003920	LOC129792846	LOC109423371
OG0003921	LOC129787913	LOC109427698
OG0003922	LOC129790684	LOC109427678
OG0003923	LOC129793525	LOC109426686
OG0003924	LOC129788629	LOC109431390
OG0003925	LOC129793492	LOC109419065
OG0003926	LOC129792341	LOC109419041
OG0003927	LOC129790561	LOC109408129
OG0003928	LOC129795957	LOC109419076
OG0003929	LOC129789557	LOC109413597
OG0003930	LOC129792340	LOC109419059
OG0003931	LOC129790739	LOC134287841, LOC109419043
OG0003932	LOC129797433	LOC109408120
OG0003933	LOC129790551	LOC109408138
OG0003934	LOC129790562	LOC109408128
OG0003935	LOC129792884	LOC109426652
OG0003936	LOC129792452	LOC115265270
OG0003937	LOC129794937	LOC109402269
OG0003938	LOC129788964	LOC109416800
OG0003939	LOC129793943	LOC109402400
OG0003940	LOC129787386	LOC109415853
OG0003941	LOC129789916	LOC109415854
OG0003942	LOC129791552	LOC109402466
OG0003943	LOC129794897	LOC109415856
OG0003944	LOC129793995	LOC109413960
OG0003945	LOC129793994	LOC109413961
OG0003946	LOC129794006	LOC109399190
OG0003947	LOC129793215	LOC109431677
OG0003948	LOC129793614	LOC109430917
OG0003949	LOC129793982	LOC115267497
OG0003950	LOC129793239	LOC109431664
OG0003952	LOC129792223	LOC109430867
OG0003953	LOC129792585	LOC109431680
OG0003955	LOC129793300	LOC109430942
OG0003956	LOC129793199	LOC109431723
OG0003957	LOC129793983	LOC109431714
OG0003958	LOC129789766	LOC109419734
OG0003959	LOC129790793	LOC115253476
OG0003960	LOC129790025	LOC109419733
OG0003961	LOC129788768	LOC115255067
OG0003962	LOC129790335	LOC109407386
OG0003964	LOC129790445	LOC109417064
OG0003965	LOC129790606	LOC109407379
OG0003966	LOC129788806	LOC109420628
OG0003967	LOC129789611	LOC115255819
OG0003968	LOC129789607	LOC115255048
OG0003969	LOC129790258	LOC109407410
OG0003970	LOC129790333	LOC109407434
OG0003971	LOC129791335	LOC109407535
OG0003972	LOC129788845	LOC109407750
OG0003973	LOC129790217	LOC109420524
OG0003974	LOC129787204	LOC109401716
OG0003975	LOC129788446	LOC109433145
OG0003976	LOC129790693	LOC109433126
OG0003977	LOC129787191	LOC109401715
OG0003978	LOC129791324	LOC109433097
OG0003979	LOC129791327	LOC109401721
OG0003980	LOC129791346	LOC109401713
OG0003981	LOC129791359	LOC109401719
OG0003982	LOC129790913	LOC109427901
OG0003983	LOC129791117	LOC109428057
OG0003984	LOC129788644	LOC109427781
OG0003985	LOC129788963	LOC109427916
OG0003986	LOC129788643	LOC109427799
OG0003987	LOC129788649	LOC115262469
OG0003988	LOC129789099	LOC134287652
OG0003989	LOC129788953	LOC109427874
OG0003990	LOC129789163	LOC109428260
OG0003991	LOC129789073	LOC134287648
OG0003992	LOC129788930	LOC109428028
OG0003993	LOC129788948	LOC109427879
OG0003994	LOC129792853	LOC109422480
OG0003995	LOC129791591	LOC109424298
OG0003996	LOC129791555	LOC109422486
OG0003997	LOC129793909	LOC109428667
OG0003998	LOC129792810	LOC109422483
OG0003999	LOC129791628	LOC109422464
OG0004000	LOC129792852	LOC109428652
OG0004001	LOC129795953	LOC115264640
OG0004002	LOC129791546, LOC129792641	LOC109428639
OG0004004	LOC129792756	LOC109422493
OG0004005	LOC129790717	LOC109421431
OG0004006	LOC129788561	LOC109421430
OG0004007	LOC129797290	LOC109621336
OG0004008	LOC129790244	LOC109421437
OG0004010	LOC129795651	LOC109421412
OG0004011	LOC129793137	LOC109421509
OG0004013	LOC129789860	LOC109421461
OG0004014	LOC129794928	LOC109432562
OG0004015	LOC129791936	LOC109421429
OG0004016	LOC129794062	LOC109621337
OG0004017	LOC129789608	LOC109417759
OG0004018	LOC129791373	LOC109420023
OG0004019	LOC129791069	LOC109417750
OG0004020	LOC129789560	LOC109417757
OG0004021	LOC129788757	LOC109401849
OG0004022	LOC129791344	LOC109420020
OG0004023	LOC129793890	LOC115256393
OG0004024	LOC129788786	LOC109401931
OG0004025	LOC129789659	LOC109417754
OG0004026	LOC129793806	LOC109429118
OG0004027	LOC129787189	LOC109429106
OG0004029	LOC129797314	LOC115254067
OG0004030	LOC129797031	LOC109429104
OG0004031	LOC129794107	LOC109429124
OG0004032	LOC129797002	LOC109429145
OG0004033	LOC129789389	LOC109398827
OG0004034	LOC129795810	LOC109429149
OG0004035	LOC129788701	LOC109429115
OG0004036	LOC129796991	LOC109409024
OG0004037	LOC129797342	LOC109429125
OG0004038	LOC129789689	LOC109429110
OG0004039	LOC129786841	LOC109412592, LOC109433532
OG0004040	LOC129797480	LOC109412595
OG0004041	LOC129790923	LOC109428400
OG0004042	LOC129788903	LOC109415199
OG0004043	LOC129787601	LOC109402212
OG0004044	LOC129796836	LOC109428405
OG0004045	LOC129786938	LOC109433581
OG0004046	LOC129797519	LOC109412596
OG0004047	LOC129789441	LOC109421296
OG0004048	LOC129789251	LOC109421312
OG0004049	LOC129795507	LOC109427815
OG0004050	LOC129791140	LOC109621857
OG0004051	LOC129791405	LOC109421342
OG0004052	LOC129796508	LOC109621801
OG0004053	LOC129789977	LOC109621853
OG0004054	LOC129789323	LOC109621806
OG0004055	LOC129791400	LOC115265572
OG0004056	LOC129791383	LOC109621800
OG0004057	LOC129790171	LOC109621809
OG0004058	LOC129790205	LOC109421298
OG0004059	LOC129791353	LOC109421307
OG0004060	LOC129794040	LOC109623109
OG0004061	LOC129795068	LOC115263514
OG0004062	LOC129793092	LOC109623113
OG0004063	LOC129797378	LOC109403155
OG0004064	LOC129797381	LOC115267930
OG0004065	LOC129797382	LOC109623445
OG0004066	LOC129797360	LOC109431576
OG0004067	LOC129794962	LOC109403173
OG0004068	LOC129797418	LOC109622224
OG0004069	LOC129797385	LOC109622219
OG0004070	LOC129797383	LOC109431601
OG0004071	LOC129793473	LOC109621320
OG0004072	LOC129786265	LOC109431143
OG0004073	LOC129793517	LOC109398039
OG0004074	LOC129793790	LOC115256846
OG0004075	LOC129793551	LOC109399511
OG0004076	LOC129793728	LOC109424942
OG0004077	LOC129793366	LOC109398045
OG0004078	LOC129791991	LOC109398016
OG0004080	LOC129793748	LOC109431126
OG0004081	LOC129792519	LOC109425653
OG0004082	LOC129789612	LOC109409313
OG0004083	LOC129797517	LOC115258948
OG0004084	LOC129796233	LOC109410273
OG0004085	LOC129794263	LOC109409318
OG0004086	LOC129790936	LOC109409309
OG0004087	LOC129793865	LOC115258703
OG0004088	LOC129792744	LOC115258621
OG0004089	LOC129789664	LOC115258678
OG0004090	LOC129791297	LOC109419112
OG0004091	LOC129791788	LOC109410272
OG0004092	LOC129791856	LOC115266546
OG0004094	LOC129789582	LOC109423494
OG0004095	LOC129797666	LOC109432145
OG0004096	LOC129791989	LOC109414073
OG0004097	LOC129790053	LOC109432137
OG0004098	LOC129797363	LOC109432128
OG0004099	LOC129788140	LOC109423500
OG0004100	LOC129786223	LOC109432141
OG0004101	LOC129787313, LOC129794807	LOC109423516
OG0004102	LOC129791463	LOC109432171
OG0004103	LOC129790359	LOC109397575
OG0004104	LOC129797283	LOC109406697
OG0004105	LOC129793615	LOC109622350
OG0004106	LOC129797365	LOC109622374
OG0004107	LOC129787759	LOC109409852
OG0004108	LOC129792569	LOC109415739
OG0004109	LOC129796125	LOC109409854
OG0004110	LOC129796085	LOC109409855
OG0004111	LOC129793392	LOC109415738
OG0004112	LOC129796076	LOC109397121
OG0004113	LOC129794209	LOC109417066
OG0004114	LOC129790317	LOC109398402
OG0004115	LOC129790948	LOC109409430
OG0004116	LOC129789497	LOC109400388
OG0004117	LOC129789654	LOC109409410
OG0004118	LOC129790356	LOC109409409
OG0004119	LOC129790049	LOC109425310
OG0004120	LOC129785895	LOC109425340
OG0004121	LOC129795193	LOC109425339
OG0004122	LOC129797621	LOC109415419
OG0004123	LOC129797591	LOC109419817
OG0004124	LOC129787947	LOC109425317
OG0004125	LOC129787646	LOC109419801
OG0004126	LOC129787978	LOC109425318
OG0004127	LOC129797572	LOC109425342
OG0004128	LOC129797439	LOC109425345
OG0004129	LOC129797504	LOC109425308
OG0004130	LOC129793812	LOC109425333
OG0004131	LOC129789012	LOC109425283
OG0004132	LOC129797550	LOC109425343
OG0004133	LOC129793286	LOC109425336
OG0004134	LOC129795451	LOC109403397
OG0004136	LOC129795058	LOC115257380
OG0004137	LOC129796481	LOC115257517
OG0004138	LOC129791846	LOC134287359, LOC109426646
OG0004140	LOC129787066	LOC109399746
OG0004141	LOC129790224	LOC109427864
OG0004142	LOC129786252	LOC109424143, LOC134287076
OG0004143	LOC129786856	LOC109622324
OG0004144	LOC129786857	LOC109622323
OG0004145	LOC129794925	LOC109410826
OG0004146	LOC129788437	LOC109421243
OG0004147	LOC129790545	LOC109429786
OG0004148	LOC129790547	LOC109398287
OG0004149	LOC129790242	LOC109429784
OG0004150	LOC129785952	LOC109405985
OG0004151	LOC129794666	LOC115258213
OG0004152	LOC129796388	LOC109410096
OG0004153	LOC129785928	LOC109405983
OG0004154	LOC129791617	LOC115265400
OG0004155	LOC129791562	LOC109410364
OG0004156	LOC129793575	LOC109410370
OG0004158	LOC129793259	LOC109426805
OG0004159	LOC129790712	LOC115260665
OG0004160	LOC129788160	LOC109423485
OG0004161	LOC129788163	LOC109423458
OG0004162	LOC129792719	LOC109426806
OG0004163	LOC129786091	LOC109431926
OG0004164	LOC129795646	LOC109424051
OG0004165	LOC129793722	LOC115266062
OG0004166	LOC129786148	LOC109404422
OG0004167	LOC129786033	LOC109431900
OG0004168	LOC129790701	LOC109425537
OG0004169	LOC129797561	LOC109398981
OG0004170	LOC129790657	LOC109398973
OG0004171	LOC129785964	LOC109404398
OG0004172	LOC129786114	LOC109404399
OG0004173	LOC129797722	LOC115269993
OG0004174	LOC129787281	LOC109403855
OG0004175	LOC129797551	LOC115264227
OG0004176	LOC129797699	LOC115269988
OG0004177	LOC129792609	LOC109412789, LOC134284143
OG0004178	LOC129787285	LOC109403859
OG0004179	LOC129786766	LOC109403850
OG0004180	LOC129788803	LOC109417026
OG0004181	LOC129789962	LOC109432048
OG0004182	LOC129788020	LOC115264229
OG0004183	LOC129796649	LOC109403860
OG0004184	LOC129787786	LOC109404030
OG0004185	LOC129786780	LOC109403857
OG0004186	LOC129794004	LOC109422260
OG0004187	LOC129789129	LOC134291851
OG0004188	LOC129796267	LOC134291865
OG0004189	LOC129796245	LOC134291864
OG0004190	LOC129795749	LOC109422297
OG0004191	LOC129796187	LOC134291863
OG0004192	LOC129796522	LOC134291861
OG0004193	LOC129795813	LOC134290050
OG0004194	LOC129794061	LOC109422261
OG0004195	LOC129795961	LOC134291862
OG0004196	LOC129794918	LOC109422249
OG0004197	LOC129790233	LOC109408313
OG0004198	LOC129788769	LOC109623079
OG0004199	LOC129793774	LOC109623092
OG0004200	LOC129788977	LOC109621271
OG0004201	LOC129797144	LOC109416865
OG0004202	LOC129790591	LOC134285145
OG0004203	LOC129790017	LOC134285153
OG0004204	LOC129797138	LOC109422944
OG0004205	LOC129787890	LOC109403520
OG0004206	LOC129788187	LOC109422874
OG0004207	LOC129788688	LOC109397601
OG0004209	LOC129792582	LOC109397594
OG0004210	LOC129788992	LOC109403521
OG0004211	LOC129792518	LOC134285150
OG0004212	LOC129794850	LOC109622293
OG0004213	LOC129792761	LOC109405078
OG0004214	LOC129789083	LOC109405090
OG0004215	LOC129789454	LOC109405083
OG0004216	LOC129790818	LOC109416555
OG0004217	LOC129788396	LOC109405088
OG0004218	LOC129788793	LOC109416551
OG0004219	LOC129797329	LOC109425733
OG0004220	LOC129786270	LOC109623017
OG0004221	LOC129786283	LOC109409089
OG0004222	LOC129786281	LOC109623022
OG0004223	LOC129786257	LOC109409079
OG0004224	LOC129794609	LOC109419239
OG0004225	LOC129793398	LOC109419229
OG0004226	LOC129793324	LOC109407483
OG0004227	LOC129790404	LOC109399852
OG0004228	LOC129797637	LOC109407487
OG0004229	LOC129787527	LOC115267059
OG0004230	LOC129786717	LOC109407473
OG0004231	LOC129786073	LOC109407480
OG0004232	LOC129795134	LOC109412953
OG0004233	LOC129788491	LOC109412949
OG0004234	LOC129788488	LOC109424901
OG0004236	LOC129789340	LOC109424872
OG0004237	LOC129785900	LOC115260964
OG0004238	LOC129797859	LOC109424980
OG0004239	LOC129785894	LOC109412947
OG0004240	LOC129792012	LOC109414231
OG0004241	LOC129793037	LOC109423718
OG0004242	LOC129794009	LOC109423720
OG0004243	LOC129793034	LOC109423717
OG0004244	LOC129796073	LOC109426600
OG0004245	LOC129793041	LOC109414219
OG0004246	LOC129793354	LOC109414236
OG0004247	LOC129789086	LOC109417738
OG0004248	LOC129794871	LOC109426601
OG0004249	LOC129791866	LOC109414230
OG0004250	LOC129791791	LOC115265479
OG0004251	LOC129791597	LOC109414823
OG0004252	LOC129792897	LOC109414821
OG0004253	LOC129787965	LOC109623042
OG0004254	LOC129796107	LOC109418606
OG0004255	LOC129791718	LOC115270414
OG0004256	LOC129791716	LOC109420874
OG0004257	LOC129796910	LOC109411671
OG0004258	LOC129790556	LOC109398687
OG0004259	LOC129796016	LOC109412930
OG0004260	LOC129795946	LOC109418703
OG0004261	LOC129796540	LOC109415954
OG0004262	LOC129795495	LOC109415943
OG0004263	LOC129788719	LOC109420078
OG0004264	LOC129789164	LOC109410420
OG0004265	LOC129788715	LOC109420070
OG0004266	LOC129788064	LOC115254318
OG0004267	LOC129797502	LOC115266888
OG0004268	LOC129788176	LOC109412457, LOC134286645
OG0004269	LOC129788205	LOC115263758
OG0004270	LOC129785879	LOC109412435
OG0004271	LOC129785875	LOC109412434
OG0004272	LOC129791302	LOC109420697
OG0004273	LOC129786448	LOC109416059
OG0004274	LOC129787401	LOC109402946
