Orthogroup	LlongipalpisASM	AsinensisChina
OG0004714	LOC129796500	ASIC005597
OG0004715	LOC129796591	ASIC004802
OG0004716	LOC129795042	ASIC005573
OG0004717	LOC129794978	ASIC005586
OG0004718	LOC129795106	ASIC005576
OG0004719	LOC129792500	ASIC000953
OG0004720	LOC129797266	ASIC015111
OG0004721	LOC129786015	ASIC015120
OG0004722	LOC129790585	ASIC006528
OG0004723	LOC129793692	ASIC003727
OG0004724	LOC129793476	ASIC003731
OG0004725	LOC129788168	ASIC016857
OG0004726	LOC129793472	ASIC003732
OG0004727	LOC129789909	ASIC016844
OG0004728	LOC129792141	ASIC016856
OG0004729	LOC129793650	ASIC016845
OG0004730	LOC129792663	ASIC016840
OG0004731	LOC129792245	ASIC016835
OG0004732	LOC129792238	ASIC010196
OG0004733	LOC129794194	ASIC010204
OG0004734	LOC129793264	ASIC003729
OG0004735	LOC129797499	ASIC005473
OG0004736	LOC129797509	ASIC002019
OG0004737	LOC129797738	ASIC005475
OG0004738	LOC129793454	ASIC009117
OG0004739	LOC129797603	ASIC002021
OG0004740	LOC129797723	ASIC002268
OG0004741	LOC129797511	ASIC002020
OG0004742	LOC129793470	ASIC002022
OG0004743	LOC129797692	ASIC005474
OG0004745	LOC129789525	ASIC017169
OG0004746	LOC129793386	ASIC003108
OG0004747	LOC129788733	ASIC007693
OG0004748	LOC129793373	ASIC003103
OG0004749	LOC129790184	ASIC007676
OG0004750	LOC129788559	ASIC004647
OG0004751	LOC129788381	ASIC010125
OG0004752	LOC129793619	ASIC014507
OG0004753	LOC129791080	ASIC014979
OG0004754	LOC129797482	ASIC022217
OG0004755	LOC129796063	ASIC017924
OG0004756	LOC129790010	ASIC010694
OG0004757	LOC129794134	ASIC019868
OG0004758	LOC129794192	ASIC002506
OG0004759	LOC129794191	ASIC002501
OG0004760	LOC129786738	ASIC002498
OG0004761	LOC129790003	ASIC010688
OG0004762	LOC129789855	ASIC010766
OG0004763	LOC129790008	ASIC010695
OG0004764	LOC129791014	ASIC012759
OG0004766	LOC129788461	ASIC010439
OG0004767	LOC129795306	ASIC021712
OG0004768	LOC129790852	ASIC012765
OG0004769	LOC129789896	ASIC003183
OG0004770	LOC129789574	ASIC021470
OG0004771	LOC129793152	ASIC012777
OG0004772	LOC129786559	ASIC012774
OG0004773	LOC129789837	ASIC002930
OG0004777	LOC129787757	ASIC020911
OG0004778	LOC129788129	ASIC019997
OG0004779	LOC129786216	ASIC008913
OG0004780	LOC129793721	ASIC020601
OG0004781	LOC129787953	ASIC019994
OG0004782	LOC129797857	ASIC020920
OG0004783	LOC129788965	ASIC007622
OG0004785	LOC129790685	ASIC006821
OG0004786	LOC129790661	ASIC006817
OG0004787	LOC129791057	ASIC006874
OG0004788	LOC129792406	ASIC009252
OG0004789	LOC129797798	ASIC007530
OG0004790	LOC129789304	ASIC016205
OG0004791	LOC129789260	ASIC006871
OG0004792	LOC129791537	ASIC006872
OG0004793	LOC129797470	ASIC007541
OG0004794	LOC129791058	ASIC006876
OG0004795	LOC129795122	ASIC022347
OG0004796	LOC129795120	ASIC022349
OG0004797	LOC129795194	ASIC007897
OG0004798	LOC129795121	ASIC022348
OG0004799	LOC129786573	ASIC010958
OG0004800	LOC129791953	ASIC013665
OG0004801	LOC129796130	ASIC007898
OG0004802	LOC129796699	ASIC007892
OG0004803	LOC129795905	ASIC007891
OG0004804	LOC129786279	ASIC011577
OG0004805	LOC129797301	ASIC011578
OG0004806	LOC129787169	ASIC017944
OG0004807	LOC129790301	ASIC008056
OG0004808	LOC129790369	ASIC002693
OG0004809	LOC129787165	ASIC008058
OG0004810	LOC129792941	ASIC017145
OG0004811	LOC129792623	ASIC020490
OG0004812	LOC129788671	ASIC003987
OG0004815	LOC129797492	ASIC002272
OG0004816	LOC129796599	ASIC019383
OG0004817	LOC129795627	ASIC008190
OG0004818	LOC129796592	ASIC019371
OG0004819	LOC129796036	ASIC019420
OG0004820	LOC129795410	ASIC019405
OG0004821	LOC129787432	ASIC017866
OG0004825	LOC129796996	ASIC011550
OG0004826	LOC129796374	ASIC011596
OG0004827	LOC129796886	ASIC011597
OG0004828	LOC129790538	ASIC005154
OG0004829	LOC129790630	ASIC013320
OG0004830	LOC129788969	ASIC009843
OG0004831	LOC129788669	ASIC013470
OG0004832	LOC129793727	ASIC017297
OG0004833	LOC129789731	ASIC017708
OG0004834	LOC129789665	ASIC017294
OG0004835	LOC129789678	ASIC017719
OG0004836	LOC129789707	ASIC017710
OG0004837	LOC129790313	ASIC017720
OG0004838	LOC129790605	ASIC017301
OG0004839	LOC129789770	ASIC017296
OG0004840	LOC129793954	ASIC018867
OG0004841	LOC129793419	ASIC021109
OG0004842	LOC129787558	ASIC021116
OG0004843	LOC129792215	ASIC021110
OG0004844	LOC129788864	ASIC014422
OG0004845	LOC129791131	ASIC014437
OG0004846	LOC129792311	ASIC021111
OG0004847	LOC129797446	ASIC021113
OG0004848	LOC129797749	ASIC021112
OG0004849	LOC129794935	ASIC014075
OG0004850	LOC129796077	ASIC008011
OG0004851	LOC129791404	ASIC004762
OG0004852	LOC129788943	ASIC004471
OG0004853	LOC129790193	ASIC003874
OG0004854	LOC129789901	ASIC003845
OG0004855	LOC129790290	ASIC003872
OG0004856	LOC129790287	ASIC003875
OG0004857	LOC129788952	ASIC003855
OG0004858	LOC129792206	ASIC017334
OG0004859	LOC129789870	ASIC022132
OG0004860	LOC129794025	ASIC003844
OG0004861	LOC129788144	ASIC003876
OG0004862	LOC129789824	ASIC003857
OG0004863	LOC129789874	ASIC003849
OG0004864	LOC129787609	ASIC021124
OG0004865	LOC129787559	ASIC021557
OG0004866	LOC129787594	ASIC021126
OG0004867	LOC129787636	ASIC021125
OG0004868	LOC129797137	ASIC005235
OG0004869	LOC129786985	ASIC005233
OG0004870	LOC129786423	ASIC014857
OG0004871	LOC129797730	ASIC020958
OG0004872	LOC129797494	ASIC020955
OG0004873	LOC129786834	ASIC010483
OG0004874	LOC129786416	ASIC014856
OG0004875	LOC129786480	ASIC010484
OG0004876	LOC129789075	ASIC011009
OG0004877	LOC129789055	ASIC007548
OG0004878	LOC129789313	ASIC017148
OG0004879	LOC129789453	ASIC002903
OG0004880	LOC129789438	ASIC017147
OG0004881	LOC129789044	ASIC009714
OG0004882	LOC129789314	ASIC006303
OG0004883	LOC129786686	ASIC007088
OG0004884	LOC129791196	ASIC005121
OG0004885	LOC129787496	ASIC009341
OG0004886	LOC129797375	ASIC011813
OG0004887	LOC129787554	ASIC003888
OG0004889	LOC129797422	ASIC009338
OG0004890	LOC129795409	ASIC015512
OG0004891	LOC129793646	ASIC019858
OG0004892	LOC129787516	ASIC019847
OG0004893	LOC129793639	ASIC019848
OG0004895	LOC129795371	ASIC004176
OG0004896	LOC129795751	ASIC012534
OG0004897	LOC129794114	ASIC012537
OG0004898	LOC129796347	ASIC004172
OG0004899	LOC129786916	ASIC000397
OG0004900	LOC129793255	ASIC012533
OG0004901	LOC129790918	ASIC000333
OG0004903	LOC129786435	ASIC020257
OG0004905	LOC129793222	ASIC007060
OG0004906	LOC129795475	ASIC021520
OG0004907	LOC129793231	ASIC007059
OG0004908	LOC129786388	ASIC020268
OG0004910	LOC129797358	ASIC008703
OG0004911	LOC129787956	ASIC004161
OG0004912	LOC129787995	ASIC008702
OG0004913	LOC129795591	ASIC010314
OG0004914	LOC129792001	ASIC017644
OG0004915	LOC129792990	ASIC016299
OG0004916	LOC129792958	ASIC016305
OG0004917	LOC129792974	ASIC016293
OG0004918	LOC129793516	ASIC016312
OG0004919	LOC129790459	ASIC007198
OG0004920	LOC129792931	ASIC007200
OG0004921	LOC129796866	ASIC007186
OG0004922	LOC129796239	ASIC007199
OG0004923	LOC129790654	ASIC007196
OG0004924	LOC129796399	ASIC005074
OG0004925	LOC129786642	ASIC021689
OG0004926	LOC129796226	ASIC014960
OG0004928	LOC129787645	ASIC015487
OG0004929	LOC129786392	ASIC004551
OG0004930	LOC129788501	ASIC004540
OG0004931	LOC129790057	ASIC004552
OG0004932	LOC129788201	ASIC004544
OG0004933	LOC129789229	ASIC004563
OG0004934	LOC129791939	ASIC004541
OG0004935	LOC129788202	ASIC004545
OG0004936	LOC129786661	ASIC020867
OG0004937	LOC129789209	ASIC014086
OG0004938	LOC129786286	ASIC020865
OG0004939	LOC129796509	ASIC009873
OG0004940	LOC129785842	ASIC020868
OG0004941	LOC129790579	ASIC014085
OG0004942	LOC129786745	ASIC014709
OG0004943	LOC129787050	ASIC020965
OG0004944	LOC129791399	ASIC014846
OG0004945	LOC129796227	ASIC015250
OG0004946	LOC129796205	ASIC015249
OG0004948	LOC129793412	ASIC015251
OG0004949	LOC129789125	ASIC000895
OG0004950	LOC129793513	ASIC011856
OG0004951	LOC129796247	ASIC000896
OG0004952	LOC129795181	ASIC012570
OG0004953	LOC129787290	ASIC012574
OG0004954	LOC129785860	ASIC011581
OG0004956	LOC129796944	ASIC005343
OG0004957	LOC129797507	ASIC005345
OG0004958	LOC129797120	ASIC002753
OG0004959	LOC129787664	ASIC007051
OG0004960	LOC129797404	ASIC007050
OG0004961	LOC129796968	ASIC008223
OG0004962	LOC129787099	ASIC005331
OG0004963	LOC129786041	ASIC005342
OG0004964	LOC129797173	ASIC004848
OG0004966	LOC129789674	ASIC007955
OG0004967	LOC129787927	ASIC005047
OG0004969	LOC129795964	ASIC004130
OG0004970	LOC129791283	ASIC015152, ASIC015141
OG0004972	LOC129787187	ASIC003511
OG0004973	LOC129791605	ASIC012934
OG0004974	LOC129794133	ASIC019778
OG0004975	LOC129791412	ASIC021222
OG0004976	LOC129787320	ASIC004660
OG0004977	LOC129791609	ASIC002543
OG0004978	LOC129787957	ASIC012666
OG0004979	LOC129786316	ASIC012674
OG0004980	LOC129797837	ASIC021257
OG0004981	LOC129791765	ASIC009200
OG0004982	LOC129792684	ASIC009197
OG0004983	LOC129794017	ASIC012954
OG0004985	LOC129792691	ASIC021246
OG0004986	LOC129793990	ASIC012955
OG0004987	LOC129789422	ASIC017666
OG0004988	LOC129789431	ASIC017693
OG0004989	LOC129789398	ASIC017555
OG0004990	LOC129789412	ASIC017704
OG0004991	LOC129787560	ASIC012295
OG0004992	LOC129797757	ASIC012310
OG0004994	LOC129787551	ASIC012301
OG0004995	LOC129795899	ASIC022200
OG0004996	LOC129787503	ASIC014763
OG0004997	LOC129792028	ASIC014753
OG0004999	LOC129795704	ASIC014799
OG0005000	LOC129795618	ASIC014807
OG0005001	LOC129794410	ASIC014812
OG0005002	LOC129791911	ASIC006785
OG0005003	LOC129787449	ASIC006353
OG0005005	LOC129787442	ASIC006354
OG0005006	LOC129787455	ASIC017020
OG0005007	LOC129790234	ASIC010630
OG0005008	LOC129791384	ASIC010593
OG0005009	LOC129791357	ASIC010641
OG0005010	LOC129791345	ASIC012129
OG0005011	LOC129790162	ASIC012031
OG0005012	LOC129790282	ASIC012140
OG0005013	LOC129790229	ASIC006071
OG0005014	LOC129788659	ASIC010607
OG0005015	LOC129789007	ASIC009992
OG0005016	LOC129788931	ASIC009997
OG0005017	LOC129788870	ASIC010000
OG0005018	LOC129794096	ASIC009981
OG0005019	LOC129790696	ASIC020709
OG0005020	LOC129789128	ASIC013102
OG0005021	LOC129791730	ASIC009983
OG0005022	LOC129789601	ASIC013101
OG0005023	LOC129788966	ASIC020742
OG0005024	LOC129789149	ASIC009995
OG0005025	LOC129796814	ASIC015270
OG0005026	LOC129793779	ASIC015269
OG0005027	LOC129793839	ASIC015340
OG0005028	LOC129797605	ASIC015329
OG0005029	LOC129790980	ASIC013409
OG0005030	LOC129789691	ASIC016206
OG0005032	LOC129796779	ASIC011460
OG0005033	LOC129786587	ASIC011442
OG0005034	LOC129797187	ASIC011461
OG0005035	LOC129787324	ASIC011453
OG0005036	LOC129789124	ASIC007269
OG0005037	LOC129792160	ASIC007263
OG0005038	LOC129790410	ASIC007416
OG0005039	LOC129791071	ASIC007252
OG0005040	LOC129789019	ASIC007268
OG0005041	LOC129790748	ASIC007265
OG0005042	LOC129788355	ASIC007262
OG0005043	LOC129790124	ASIC007415
OG0005044	LOC129792301	ASIC012899
OG0005045	LOC129792789	ASIC012913
OG0005046	LOC129792749	ASIC012904
OG0005047	LOC129797041	ASIC002889
OG0005048	LOC129792752	ASIC002894
OG0005049	LOC129792594	ASIC002887
OG0005050	LOC129792696	ASIC002893
OG0005051	LOC129797693	ASIC012911
OG0005052	LOC129792699	ASIC002891
OG0005053	LOC129791768	ASIC012912
OG0005054	LOC129786683	ASIC012985
OG0005055	LOC129797008	ASIC011103
OG0005056	LOC129797340	ASIC020134
OG0005057	LOC129786413	ASIC018986
OG0005058	LOC129797047	ASIC011102
OG0005059	LOC129797251	ASIC003589
OG0005060	LOC129789796	ASIC003570
OG0005061	LOC129790293	ASIC003745
OG0005062	LOC129790475	ASIC014384
OG0005063	LOC129788951	ASIC007227
OG0005064	LOC129790058	ASIC007444
OG0005065	LOC129790582	ASIC007447
OG0005066	LOC129796523	ASIC016004
OG0005067	LOC129792402	ASIC022179
OG0005068	LOC129792409	ASIC022180
OG0005069	LOC129790280	ASIC004286
OG0005071	LOC129791442	ASIC020805
OG0005073	LOC129797352	ASIC011458
OG0005074	LOC129796006	ASIC004287
OG0005075	LOC129786425	ASIC011381
OG0005076	LOC129791443	ASIC004288
OG0005077	LOC129788425	ASIC009955
OG0005078	LOC129788430	ASIC017269
OG0005079	LOC129791160	ASIC009996
OG0005080	LOC129795793	ASIC017265
OG0005081	LOC129795796	ASIC017264
OG0005082	LOC129790844	ASIC017270
OG0005083	LOC129788462	ASIC014665
OG0005084	LOC129788468	ASIC009957
OG0005085	LOC129787667	ASIC018123
OG0005086	LOC129787675	ASIC018124
OG0005088	LOC129787234	ASIC003523
OG0005089	LOC129787060	ASIC020816
OG0005090	LOC129790727	ASIC012785
OG0005091	LOC129788705	ASIC003520
OG0005092	LOC129786986	ASIC015105
OG0005093	LOC129791840	ASIC016628
OG0005094	LOC129792825	ASIC003122
OG0005095	LOC129797410	ASIC003117
OG0005096	LOC129787695	ASIC003118
OG0005097	LOC129794959	ASIC016330
OG0005098	LOC129791905	ASIC016331
OG0005099	LOC129794462	ASIC016265
OG0005100	LOC129796811	ASIC016328
OG0005101	LOC129788068	ASIC014855
OG0005102	LOC129794650	ASIC016287
OG0005103	LOC129792981	ASIC016329
OG0005104	LOC129794460	ASIC012022
OG0005105	LOC129796685	ASIC004986
OG0005106	LOC129796661	ASIC005002
OG0005107	LOC129795689	ASIC012023
OG0005108	LOC129796099	ASIC001787
OG0005109	LOC129786110	ASIC013239
OG0005110	LOC129786152	ASIC013238
OG0005111	LOC129796585	ASIC001788
OG0005112	LOC129796024	ASIC017828
OG0005113	LOC129792251	ASIC012631
OG0005114	LOC129795840	ASIC017827
OG0005115	LOC129795868	ASIC017829
OG0005116	LOC129795430	ASIC017830
OG0005117	LOC129787178	ASIC008046
OG0005118	LOC129790449	ASIC007567
OG0005119	LOC129790861	ASIC009654
OG0005120	LOC129790450	ASIC007552
OG0005121	LOC129792440	ASIC010552
OG0005122	LOC129797471	ASIC000878
OG0005123	LOC129792450	ASIC010553
OG0005124	LOC129797449	ASIC000876
OG0005125	LOC129797697	ASIC000872
OG0005126	LOC129797718	ASIC000873
OG0005127	LOC129797711	ASIC000877
OG0005128	LOC129788887	ASIC015442
OG0005130	LOC129795579	ASIC015445
OG0005131	LOC129794599	ASIC017798
OG0005132	LOC129794128	ASIC003696
OG0005133	LOC129794001	ASIC003694
OG0005134	LOC129792249	ASIC003708
OG0005135	LOC129794010	ASIC003692
OG0005136	LOC129793695	ASIC003711
OG0005137	LOC129793150	ASIC003709
OG0005138	LOC129792250	ASIC003706
OG0005139	LOC129793486	ASIC003712
OG0005140	LOC129788398	ASIC013412
OG0005142	LOC129788690	ASIC007465
OG0005143	LOC129787604	ASIC008355
OG0005144	LOC129797684	ASIC001844
OG0005146	LOC129794906	ASIC003672
OG0005147	LOC129794758	ASIC003671
OG0005148	LOC129791022	ASIC007089
OG0005149	LOC129787828	ASIC021810
OG0005150	LOC129787330	ASIC009027
OG0005151	LOC129789561	ASIC021459
OG0005152	LOC129793934	ASIC000603
OG0005153	LOC129788512	ASIC006419
OG0005155	LOC129789349	ASIC006418
OG0005156	LOC129790043	ASIC006445
OG0005157	LOC129788490	ASIC007440
OG0005158	LOC129790812	ASIC006443
OG0005159	LOC129786694	ASIC005306
OG0005161	LOC129788911	ASIC020128
OG0005164	LOC129786689	ASIC005295
OG0005165	LOC129795562	ASIC020157
OG0005166	LOC129787534	ASIC005319
OG0005167	LOC129792237	ASIC006776
OG0005168	LOC129786942	ASIC006781
OG0005169	LOC129795277	ASIC018017
OG0005170	LOC129790166	ASIC015514
OG0005171	LOC129795385	ASIC015513
OG0005172	LOC129796437	ASIC005054
OG0005174	LOC129796475	ASIC018010
OG0005175	LOC129786880, LOC129795716	ASIC006002
OG0005176	LOC129795493	ASIC006003
OG0005177	LOC129792326	ASIC011608
OG0005178	LOC129794903	ASIC015083
OG0005179	LOC129792915	ASIC011611
OG0005180	LOC129793574	ASIC021207
OG0005181	LOC129793797	ASIC018546
OG0005182	LOC129793280	ASIC018561
OG0005183	LOC129791208	ASIC017671
OG0005184	LOC129788576	ASIC006458
OG0005185	LOC129797438	ASIC004664
OG0005187	LOC129793851	ASIC004663
OG0005188	LOC129797419	ASIC004662
OG0005189	LOC129793601	ASIC008361
OG0005190	LOC129792870	ASIC005782
OG0005191	LOC129791432	ASIC021000
OG0005192	LOC129793975	ASIC005786
OG0005193	LOC129794938	ASIC020999
OG0005194	LOC129786141	ASIC020994
OG0005195	LOC129791973	ASIC018418
OG0005196	LOC129792019	ASIC018407
OG0005197	LOC129788924	ASIC017715
OG0005198	LOC129793620	ASIC014586
OG0005199	LOC129793506	ASIC014589
OG0005200	LOC129795433	ASIC014567
OG0005201	LOC129794212	ASIC011713
OG0005203	LOC129794211	ASIC011714
OG0005204	LOC129797813	ASIC011120
OG0005205	LOC129789928	ASIC013846
OG0005206	LOC129797143	ASIC013840
OG0005207	LOC129790336	ASIC006116
OG0005208	LOC129791139	ASIC006113
OG0005209	LOC129793393	ASIC013841
OG0005210	LOC129789528	ASIC013850
OG0005211	LOC129796499	ASIC011917
OG0005212	LOC129796341	ASIC017846
OG0005213	LOC129794667	ASIC017843
OG0005214	LOC129796434	ASIC005045
OG0005215	LOC129794665	ASIC017844
OG0005216	LOC129796015	ASIC017849
OG0005217	LOC129794838	ASIC011919
OG0005218	LOC129795929	ASIC017847
OG0005219	LOC129793817	ASIC005044
OG0005220	LOC129787943	ASIC003949
OG0005221	LOC129789589	ASIC017198
OG0005222	LOC129797039	ASIC017193
OG0005223	LOC129792239	ASIC008008
OG0005224	LOC129794984	ASIC008009
OG0005225	LOC129788391	ASIC020680
OG0005226	LOC129795875	ASIC008006
OG0005227	LOC129794885	ASIC020687
OG0005228	LOC129795842	ASIC008005
OG0005229	LOC129794033	ASIC020086
OG0005230	LOC129795852	ASIC008003
OG0005231	LOC129795480	ASIC013295
OG0005232	LOC129788982	ASIC020250
OG0005233	LOC129796115	ASIC012514, ASIC012503
OG0005234	LOC129787507	ASIC009846
OG0005235	LOC129791610	ASIC016477
OG0005236	LOC129794202	ASIC016482
OG0005237	LOC129796630	ASIC016485
OG0005238	LOC129794216	ASIC016484
OG0005239	LOC129788840	ASIC009941
OG0005240	LOC129788141	ASIC020745
OG0005241	LOC129790807	ASIC020744
OG0005242	LOC129792142	ASIC010820
OG0005243	LOC129796817	ASIC008408
OG0005244	LOC129796889	ASIC008405
OG0005245	LOC129795728	ASIC016035
OG0005246	LOC129789848	ASIC013460
OG0005247	LOC129792221	ASIC013343
OG0005248	LOC129789905	ASIC013459
OG0005249	LOC129794657	ASIC016533
OG0005250	LOC129787416	ASIC021046
OG0005251	LOC129795177	ASIC015434
OG0005252	LOC129794685	ASIC015408
OG0005253	LOC129794800	ASIC015411
OG0005254	LOC129794675	ASIC015405
OG0005255	LOC129793467	ASIC016380
OG0005256	LOC129791639	ASIC011719
OG0005257	LOC129792242	ASIC012344
OG0005258	LOC129792983	ASIC012350
OG0005259	LOC129797775	ASIC003169
OG0005260	LOC129791179	ASIC006587
OG0005261	LOC129797596	ASIC003168
OG0005262	LOC129797638	ASIC003170
OG0005263	LOC129792401	ASIC003165
OG0005264	LOC129791174	ASIC006590
OG0005265	LOC129794221	ASIC019788
OG0005266	LOC129793369	ASIC012925
OG0005267	LOC129786219	ASIC003070
OG0005268	LOC129790907	ASIC011970
OG0005269	LOC129790128	ASIC013972
OG0005270	LOC129787086	ASIC004087
OG0005271	LOC129797865	ASIC013314
OG0005272	LOC129785911	ASIC004084
OG0005273	LOC129787764	ASIC012656
OG0005274	LOC129793621	ASIC016502
OG0005275	LOC129795553	ASIC003210
OG0005276	LOC129788683	ASIC012377
OG0005277	LOC129786047	ASIC021811
OG0005278	LOC129788026	ASIC011008
OG0005279	LOC129792391	ASIC012375
OG0005280	LOC129786241	ASIC020045
OG0005281	LOC129785978	ASIC020035
OG0005282	LOC129787518	ASIC008357
OG0005283	LOC129788404	ASIC006050
OG0005284	LOC129791834	ASIC019803
OG0005285	LOC129787740	ASIC006051
OG0005286	LOC129786739	ASIC006112
OG0005287	LOC129786749	ASIC017231
OG0005288	LOC129793314	ASIC017230
OG0005289	LOC129796257	ASIC017228
OG0005290	LOC129791183	ASIC008658
OG0005291	LOC129790236	ASIC006611
OG0005292	LOC129791352	ASIC000263
OG0005293	LOC129791348	ASIC008665
OG0005294	LOC129791311	ASIC008663
OG0005295	LOC129790368	ASIC016256
OG0005296	LOC129797533	ASIC010832
OG0005297	LOC129797552	ASIC010830
OG0005298	LOC129786758	ASIC007968
OG0005299	LOC129786941	ASIC009371
OG0005300	LOC129792845	ASIC019084
OG0005301	LOC129795870	ASIC019060
OG0005302	LOC129786532	ASIC011374
OG0005304	LOC129786564	ASIC020273
OG0005305	LOC129790148	ASIC021015
OG0005306	LOC129797836	ASIC021354
OG0005307	LOC129787039	ASIC021009
OG0005308	LOC129787038	ASIC021014
OG0005309	LOC129789836	ASIC009671
OG0005310	LOC129795162	ASIC006355
OG0005311	LOC129789542	ASIC002463
OG0005312	LOC129790645	ASIC016638
OG0005313	LOC129790127	ASIC010253
OG0005314	LOC129789995	ASIC020420
OG0005315	LOC129789522	ASIC007664
OG0005316	LOC129787388	ASIC005924
OG0005317	LOC129789904	ASIC015403
OG0005318	LOC129795055	ASIC015401
OG0005319	LOC129791229	ASIC002805
OG0005321	LOC129794059	ASIC002809
OG0005323	LOC129790038	ASIC007228
OG0005324	LOC129791073	ASIC007236
OG0005325	LOC129790034	ASIC007230
OG0005326	LOC129791066	ASIC007231
OG0005328	LOC129797233	ASIC019312
OG0005329	LOC129795461	ASIC009326
OG0005330	LOC129795752	ASIC009328
OG0005331	LOC129795504	ASIC019314
OG0005332	LOC129795680	ASIC009327
OG0005333	LOC129797223	ASIC005403
OG0005334	LOC129792490	ASIC018703
OG0005335	LOC129789531	ASIC018702
OG0005336	LOC129792263	ASIC018790
OG0005337	LOC129794170	ASIC018705
OG0005338	LOC129790379	ASIC005252
OG0005339	LOC129797553	ASIC013496
OG0005340	LOC129791919	ASIC008504
OG0005341	LOC129791824	ASIC008505
OG0005342	LOC129791764	ASIC009201
OG0005343	LOC129795168	ASIC019220
OG0005344	LOC129791959	ASIC008506
OG0005345	LOC129792240	ASIC008511
OG0005346	LOC129789879	ASIC003161
OG0005347	LOC129787397	ASIC016622
OG0005348	LOC129787059	ASIC020573
OG0005349	LOC129795738	ASIC008451
OG0005350	LOC129797617	ASIC010170
OG0005351	LOC129793729	ASIC018480
OG0005353	LOC129790792	ASIC011228
OG0005354	LOC129788893	ASIC002701
OG0005355	LOC129790012	ASIC010715
OG0005356	LOC129787275	ASIC002807
OG0005357	LOC129790014	ASIC010716
OG0005358	LOC129790207	ASIC010905
OG0005359	LOC129793932	ASIC007161
OG0005360	LOC129789961	ASIC007462
OG0005361	LOC129790191	ASIC007360
OG0005362	LOC129788416	ASIC014374
OG0005363	LOC129788818	ASIC013082
OG0005364	LOC129789983	ASIC007139
OG0005365	LOC129797250	ASIC013078
OG0005366	LOC129788844	ASIC013080
OG0005367	LOC129788184	ASIC013076
OG0005368	LOC129787674	ASIC017770
OG0005369	LOC129794917	ASIC022362
OG0005370	LOC129795894	ASIC017795
OG0005371	LOC129795119	ASIC022357
OG0005372	LOC129795902	ASIC017785
OG0005373	LOC129790794	ASIC007157
OG0005374	LOC129789146	ASIC017092
OG0005375	LOC129789382	ASIC007469
OG0005376	LOC129790850	ASIC011425
OG0005377	LOC129790878	ASIC007140
OG0005378	LOC129788731	ASIC003936
OG0005379	LOC129795635	ASIC015572
OG0005380	LOC129797327	ASIC008470
OG0005381	LOC129789695	ASIC002478
OG0005382	LOC129797326	ASIC008469
OG0005383	LOC129791288	ASIC020785
OG0005384	LOC129790324	ASIC020781
OG0005385	LOC129793236	ASIC006694
OG0005386	LOC129789020	ASIC010001
OG0005389	LOC129793310	ASIC002860
OG0005392	LOC129789312	ASIC009468
OG0005393	LOC129785861	ASIC020372
OG0005394	LOC129790031	ASIC020358
OG0005395	LOC129794961	ASIC004676
OG0005396	LOC129796440	ASIC008249
OG0005397	LOC129786923	ASIC008245
OG0005398	LOC129786862	ASIC004613
OG0005400	LOC129791802	ASIC020084
OG0005401	LOC129793842	ASIC021521
OG0005402	LOC129792860	ASIC021392
OG0005403	LOC129789586	ASIC001840
OG0005404	LOC129788929	ASIC004740
OG0005405	LOC129791147	ASIC007114
OG0005406	LOC129793781	ASIC020083
OG0005407	LOC129789435	ASIC006288
OG0005408	LOC129797483	ASIC013282
OG0005409	LOC129797516	ASIC013270
OG0005410	LOC129787642	ASIC009103
OG0005411	LOC129797513	ASIC013273
OG0005412	LOC129797195	ASIC011463
OG0005413	LOC129794924	ASIC013283
OG0005414	LOC129797764, LOC129797762	ASIC013284
OG0005415	LOC129795581	ASIC009102
OG0005416	LOC129788059	ASIC013285
OG0005418	LOC129793917	ASIC013379
OG0005419	LOC129797794	ASIC014835
OG0005420	LOC129786337	ASIC021655
OG0005421	LOC129786333	ASIC021644
OG0005422	LOC129793311	ASIC014839
OG0005423	LOC129794883	ASIC021633
OG0005424	LOC129786327	ASIC013325
OG0005425	LOC129793170	ASIC008277
OG0005426	LOC129794891	ASIC022208
OG0005428	LOC129787599	ASIC008147
OG0005429	LOC129797305	ASIC008150
OG0005430	LOC129796928	ASIC008325
OG0005431	LOC129795741	ASIC008316
OG0005432	LOC129796984	ASIC008151
OG0005434	LOC129797232	ASIC008149
OG0005435	LOC129793364	ASIC008332
OG0005436	LOC129791944	ASIC008318
OG0005437	LOC129787119	ASIC008154
OG0005438	LOC129790909	ASIC008645
OG0005440	LOC129795940	ASIC007833
OG0005441	LOC129786420	ASIC007834
OG0005442	LOC129796513	ASIC011113
OG0005443	LOC129793918	ASIC011109
OG0005444	LOC129796960	ASIC010565
OG0005445	LOC129791092	ASIC010558
OG0005446	LOC129786233	ASIC010570
OG0005448	LOC129787666	ASIC008191
OG0005449	LOC129796962	ASIC010568
OG0005450	LOC129796965	ASIC010566
OG0005451	LOC129786250	ASIC010569
OG0005452	LOC129793935	ASIC010564
OG0005453	LOC129793813	ASIC010555
OG0005454	LOC129796963	ASIC010557
OG0005455	LOC129788151	ASIC013467
OG0005456	LOC129796529	ASIC011267
OG0005458	LOC129796642	ASIC015377
OG0005459	LOC129789623	ASIC016185
OG0005460	LOC129790601	ASIC010741
OG0005461	LOC129790604	ASIC010742
OG0005462	LOC129789776	ASIC016187
OG0005463	LOC129794714	ASIC010743
OG0005464	LOC129790643	ASIC008882
OG0005465	LOC129791869	ASIC012952
OG0005466	LOC129793571	ASIC018673
